Query,Time,Value,Unit
"text='rigged' and channel=""fox""",2020-01-08,1,seconds
"text='rigged' and channel=""fox""",2020-01-10,2,seconds
"text='rigged' and channel=""fox""",2020-01-11,3,seconds
"text='rigged' and channel=""fox""",2020-01-12,3,seconds
"text='rigged' and channel=""fox""",2020-01-13,1,seconds
"text='rigged' and channel=""fox""",2020-01-15,4,seconds
"text='rigged' and channel=""fox""",2020-01-16,4,seconds
"text='rigged' and channel=""fox""",2020-01-17,1,seconds
"text='rigged' and channel=""fox""",2020-01-18,4,seconds
"text='rigged' and channel=""fox""",2020-01-19,1,seconds
"text='rigged' and channel=""fox""",2020-01-20,3,seconds
"text='rigged' and channel=""fox""",2020-01-21,5,seconds
"text='rigged' and channel=""fox""",2020-01-22,3,seconds
"text='rigged' and channel=""fox""",2020-01-23,5,seconds
"text='rigged' and channel=""fox""",2020-01-24,1,seconds
"text='rigged' and channel=""fox""",2020-01-25,4,seconds
"text='rigged' and channel=""fox""",2020-01-26,3,seconds
"text='rigged' and channel=""fox""",2020-01-27,2,seconds
"text='rigged' and channel=""fox""",2020-01-30,1,seconds
"text='rigged' and channel=""fox""",2020-01-31,11,seconds
"text='rigged' and channel=""fox""",2020-02-01,6,seconds
"text='rigged' and channel=""fox""",2020-02-02,6,seconds
"text='rigged' and channel=""fox""",2020-02-03,9,seconds
"text='rigged' and channel=""fox""",2020-02-04,15,seconds
"text='rigged' and channel=""fox""",2020-02-05,5,seconds
"text='rigged' and channel=""fox""",2020-02-06,4,seconds
"text='rigged' and channel=""fox""",2020-02-07,5,seconds
"text='rigged' and channel=""fox""",2020-02-08,2,seconds
"text='rigged' and channel=""fox""",2020-02-10,4,seconds
"text='rigged' and channel=""fox""",2020-02-11,3,seconds
"text='rigged' and channel=""fox""",2020-02-12,6,seconds
"text='rigged' and channel=""fox""",2020-02-13,3,seconds
"text='rigged' and channel=""fox""",2020-02-14,2,seconds
"text='rigged' and channel=""fox""",2020-02-15,1,seconds
"text='rigged' and channel=""fox""",2020-02-16,2,seconds
"text='rigged' and channel=""fox""",2020-02-17,2,seconds
"text='rigged' and channel=""fox""",2020-02-18,2,seconds
"text='rigged' and channel=""fox""",2020-02-21,2,seconds
"text='rigged' and channel=""fox""",2020-02-22,6,seconds
"text='rigged' and channel=""fox""",2020-02-23,10,seconds
"text='rigged' and channel=""fox""",2020-02-24,3,seconds
"text='rigged' and channel=""fox""",2020-02-25,1,seconds
"text='rigged' and channel=""fox""",2020-02-26,1,seconds
"text='rigged' and channel=""fox""",2020-03-02,3,seconds
"text='rigged' and channel=""fox""",2020-03-03,22,seconds
"text='rigged' and channel=""fox""",2020-03-04,11,seconds
"text='rigged' and channel=""fox""",2020-03-05,4,seconds
"text='rigged' and channel=""fox""",2020-03-08,3,seconds
"text='rigged' and channel=""fox""",2020-03-09,1,seconds
"text='rigged' and channel=""fox""",2020-03-10,1,seconds
"text='rigged' and channel=""fox""",2020-03-11,1,seconds
"text='rigged' and channel=""fox""",2020-03-12,1,seconds
"text='rigged' and channel=""fox""",2020-03-13,1,seconds
"text='rigged' and channel=""fox""",2020-04-09,1,seconds
"text='rigged' and channel=""fox""",2020-05-01,2,seconds
"text='rigged' and channel=""fox""",2020-05-02,2,seconds
"text='rigged' and channel=""fox""",2020-05-04,1,seconds
"text='rigged' and channel=""fox""",2020-05-05,2,seconds
"text='rigged' and channel=""fox""",2020-05-10,5,seconds
"text='rigged' and channel=""fox""",2020-05-11,1,seconds
"text='rigged' and channel=""fox""",2020-05-16,3,seconds
"text='rigged' and channel=""fox""",2020-05-17,2,seconds
"text='rigged' and channel=""fox""",2020-05-18,1,seconds
"text='rigged' and channel=""fox""",2020-05-22,1,seconds
"text='rigged' and channel=""fox""",2020-05-23,2,seconds
"text='rigged' and channel=""fox""",2020-05-24,2,seconds
"text='rigged' and channel=""fox""",2020-05-25,1,seconds
"text='rigged' and channel=""fox""",2020-05-26,7,seconds
"text='rigged' and channel=""fox""",2020-05-27,5,seconds
"text='rigged' and channel=""fox""",2020-05-28,2,seconds
"text='rigged' and channel=""fox""",2020-05-29,2,seconds
"text='rigged' and channel=""fox""",2020-05-31,2,seconds
"text='rigged' and channel=""fox""",2020-06-10,1,seconds
"text='rigged' and channel=""fox""",2020-06-11,1,seconds
"text='rigged' and channel=""fox""",2020-06-23,3,seconds
"text='rigged' and channel=""fox""",2020-06-28,1,seconds
"text='rigged' and channel=""fox""",2020-07-05,1,seconds
"text='rigged' and channel=""fox""",2020-07-06,1,seconds
"text='rigged' and channel=""fox""",2020-07-08,1,seconds
"text='rigged' and channel=""fox""",2020-07-14,1,seconds
"text='rigged' and channel=""fox""",2020-07-15,1,seconds
"text='rigged' and channel=""fox""",2020-07-18,1,seconds
"text='rigged' and channel=""fox""",2020-07-19,2,seconds
"text='rigged' and channel=""fox""",2020-07-20,5,seconds
"text='rigged' and channel=""fox""",2020-07-22,1,seconds
"text='rigged' and channel=""fox""",2020-07-24,1,seconds
"text='rigged' and channel=""fox""",2020-07-28,4,seconds
"text='rigged' and channel=""fox""",2020-07-29,2,seconds
"text='rigged' and channel=""fox""",2020-07-30,1,seconds
"text='rigged' and channel=""fox""",2020-07-31,6,seconds
"text='rigged' and channel=""fox""",2020-08-01,3,seconds
"text='rigged' and channel=""fox""",2020-08-02,4,seconds
"text='rigged' and channel=""fox""",2020-08-03,1,seconds
"text='rigged' and channel=""fox""",2020-08-04,1,seconds
"text='rigged' and channel=""fox""",2020-08-05,1,seconds
"text='rigged' and channel=""fox""",2020-08-09,1,seconds
"text='rigged' and channel=""fox""",2020-08-10,1,seconds
"text='rigged' and channel=""fox""",2020-08-11,5,seconds
"text='rigged' and channel=""fox""",2020-08-12,6,seconds
"text='rigged' and channel=""fox""",2020-08-16,1,seconds
"text='rigged' and channel=""fox""",2020-08-17,5,seconds
"text='rigged' and channel=""fox""",2020-08-18,3,seconds
"text='rigged' and channel=""fox""",2020-08-19,2,seconds
"text='rigged' and channel=""fox""",2020-08-20,6,seconds
"text='rigged' and channel=""fox""",2020-08-21,2,seconds
"text='rigged' and channel=""fox""",2020-08-22,5,seconds
"text='rigged' and channel=""fox""",2020-08-23,7,seconds
"text='rigged' and channel=""fox""",2020-08-24,5,seconds
"text='rigged' and channel=""fox""",2020-08-26,1,seconds
"text='rigged' and channel=""fox""",2020-09-04,1,seconds
"text='rigged' and channel=""fox""",2020-09-05,3,seconds
"text='rigged' and channel=""fox""",2020-09-06,2,seconds
"text='rigged' and channel=""fox""",2020-09-07,4,seconds
"text='rigged' and channel=""fox""",2020-09-08,1,seconds
"text='rigged' and channel=""fox""",2020-09-13,1,seconds
"text='rigged' and channel=""fox""",2020-09-14,1,seconds
"text='rigged' and channel=""fox""",2020-09-15,1,seconds
"text='rigged' and channel=""fox""",2020-09-20,1,seconds
"text='rigged' and channel=""fox""",2020-09-22,2,seconds
"text='rigged' and channel=""fox""",2020-09-23,1,seconds
"text='rigged' and channel=""fox""",2020-09-24,2,seconds
"text='rigged' and channel=""fox""",2020-09-26,2,seconds
"text='rigged' and channel=""fox""",2020-09-27,1,seconds
"text='rigged' and channel=""fox""",2020-09-28,1,seconds
"text='rigged' and channel=""fox""",2020-09-29,1,seconds
"text='rigged' and channel=""fox""",2020-09-30,2,seconds
"text='rigged' and channel=""fox""",2020-10-04,1,seconds
"text='rigged' and channel=""fox""",2020-10-08,4,seconds
"text='rigged' and channel=""fox""",2020-10-09,1,seconds
