Query,Time,Value,Unit
"text='rigged' and channel=""MSNBC""",2020-01-01,2,seconds
"text='rigged' and channel=""MSNBC""",2020-01-03,1,seconds
"text='rigged' and channel=""MSNBC""",2020-01-05,1,seconds
"text='rigged' and channel=""MSNBC""",2020-01-07,2,seconds
"text='rigged' and channel=""MSNBC""",2020-01-10,3,seconds
"text='rigged' and channel=""MSNBC""",2020-01-14,2,seconds
"text='rigged' and channel=""MSNBC""",2020-01-15,1,seconds
"text='rigged' and channel=""MSNBC""",2020-01-16,3,seconds
"text='rigged' and channel=""MSNBC""",2020-01-17,4,seconds
"text='rigged' and channel=""MSNBC""",2020-01-18,1,seconds
"text='rigged' and channel=""MSNBC""",2020-01-19,4,seconds
"text='rigged' and channel=""MSNBC""",2020-01-20,7,seconds
"text='rigged' and channel=""MSNBC""",2020-01-21,8,seconds
"text='rigged' and channel=""MSNBC""",2020-01-22,3,seconds
"text='rigged' and channel=""MSNBC""",2020-01-23,1,seconds
"text='rigged' and channel=""MSNBC""",2020-01-25,9,seconds
"text='rigged' and channel=""MSNBC""",2020-01-26,3,seconds
"text='rigged' and channel=""MSNBC""",2020-01-31,7,seconds
"text='rigged' and channel=""MSNBC""",2020-02-01,8,seconds
"text='rigged' and channel=""MSNBC""",2020-02-02,1,seconds
"text='rigged' and channel=""MSNBC""",2020-02-03,0.911,seconds
"text='rigged' and channel=""MSNBC""",2020-02-04,17,seconds
"text='rigged' and channel=""MSNBC""",2020-02-06,1.68,seconds
"text='rigged' and channel=""MSNBC""",2020-02-07,2,seconds
"text='rigged' and channel=""MSNBC""",2020-02-08,7,seconds
"text='rigged' and channel=""MSNBC""",2020-02-09,2,seconds
"text='rigged' and channel=""MSNBC""",2020-02-12,3.91,seconds
"text='rigged' and channel=""MSNBC""",2020-02-13,1,seconds
"text='rigged' and channel=""MSNBC""",2020-02-14,5,seconds
"text='rigged' and channel=""MSNBC""",2020-02-15,1,seconds
"text='rigged' and channel=""MSNBC""",2020-02-17,1,seconds
"text='rigged' and channel=""MSNBC""",2020-02-19,1,seconds
"text='rigged' and channel=""MSNBC""",2020-02-21,8,seconds
"text='rigged' and channel=""MSNBC""",2020-02-22,3,seconds
"text='rigged' and channel=""MSNBC""",2020-02-23,8,seconds
"text='rigged' and channel=""MSNBC""",2020-02-27,2,seconds
"text='rigged' and channel=""MSNBC""",2020-02-28,4,seconds
"text='rigged' and channel=""MSNBC""",2020-03-01,1,seconds
"text='rigged' and channel=""MSNBC""",2020-03-02,1,seconds
"text='rigged' and channel=""MSNBC""",2020-03-03,5,seconds
"text='rigged' and channel=""MSNBC""",2020-03-04,3,seconds
"text='rigged' and channel=""MSNBC""",2020-03-06,1,seconds
"text='rigged' and channel=""MSNBC""",2020-03-07,1,seconds
"text='rigged' and channel=""MSNBC""",2020-03-08,1,seconds
"text='rigged' and channel=""MSNBC""",2020-03-11,1,seconds
"text='rigged' and channel=""MSNBC""",2020-03-12,1,seconds
"text='rigged' and channel=""MSNBC""",2020-03-14,3,seconds
"text='rigged' and channel=""MSNBC""",2020-03-16,1,seconds
"text='rigged' and channel=""MSNBC""",2020-03-17,1,seconds
"text='rigged' and channel=""MSNBC""",2020-03-19,2,seconds
"text='rigged' and channel=""MSNBC""",2020-03-20,1,seconds
"text='rigged' and channel=""MSNBC""",2020-03-24,1,seconds
"text='rigged' and channel=""MSNBC""",2020-03-25,3,seconds
"text='rigged' and channel=""MSNBC""",2020-03-26,6,seconds
"text='rigged' and channel=""MSNBC""",2020-04-03,1,seconds
"text='rigged' and channel=""MSNBC""",2020-04-04,1,seconds
"text='rigged' and channel=""MSNBC""",2020-04-05,1,seconds
"text='rigged' and channel=""MSNBC""",2020-04-11,2,seconds
"text='rigged' and channel=""MSNBC""",2020-04-13,1,seconds
"text='rigged' and channel=""MSNBC""",2020-04-14,2,seconds
"text='rigged' and channel=""MSNBC""",2020-04-19,2,seconds
"text='rigged' and channel=""MSNBC""",2020-04-23,1,seconds
"text='rigged' and channel=""MSNBC""",2020-04-26,1,seconds
"text='rigged' and channel=""MSNBC""",2020-04-30,1,seconds
"text='rigged' and channel=""MSNBC""",2020-05-07,2,seconds
"text='rigged' and channel=""MSNBC""",2020-05-08,1,seconds
"text='rigged' and channel=""MSNBC""",2020-05-09,1,seconds
"text='rigged' and channel=""MSNBC""",2020-05-13,1,seconds
"text='rigged' and channel=""MSNBC""",2020-05-14,1,seconds
"text='rigged' and channel=""MSNBC""",2020-05-20,4,seconds
"text='rigged' and channel=""MSNBC""",2020-05-21,5,seconds
"text='rigged' and channel=""MSNBC""",2020-05-23,1,seconds
"text='rigged' and channel=""MSNBC""",2020-05-24,5,seconds
"text='rigged' and channel=""MSNBC""",2020-05-25,5,seconds
