Congress,Years,Region,Percent,Seats
110,2007-2008,New England,95.5,22
111,2009-2010,New England,100,22
112,2011-2012,New England,90.9,22
113,2013-2014,New England,100,21
114,2015-2016,New England,90.4,21
115,2017-2018,New England,95.2,21
116,2019-2020,New England,100,21
69,1925-1926,Pacific Coast,19,21
75,1937-1938,Pacific Coast,80,30
81,1949-1950,Pacific Coast,36.4,33
87,1961-1962,Pacific Coast,51.2,43
93,1973-1974,Pacific Coast,58.9,56
96,1979-1980,Pacific Coast,66.1,56
97,1981-1982,Pacific Coast,56.1,57
98,1983-1984,Pacific Coast,62.3,61
100,1987-1988,Pacific Coast,59,61
101,1989-1990,Pacific Coast,59,61
103,1991-1992,Pacific Coast,60.6,61
103,1993-1994,Pacific Coast,63.8,69
104,1995-1996,Pacific Coast,49.3,69
105,1997-1998,Pacific Coast,55.1,69
106,1999-2000,Pacific Coast,56.5,69
107,2001-2002,Pacific Coast,63.2,68
108,2003-2004,Pacific Coast,64.3,70
109,2005-2006,Pacific Coast,63.8,69
110,2007-2008,Pacific Coast,65.7,70
111,2009-2010,Pacific Coast,65.7,70
112,2011-2012,Pacific Coast,64.3,70
113,2013-2014,Pacific Coast,70.4,71
114,2015-2016,Pacific Coast,71.8,71
115,2017-2018,Pacific Coast,71.8,71
116,2019-2020,Pacific Coast,83.1,71
69,1925-1926,Plains,14.6,41
75,1937-1938,Plains,38.2,34
81,1949-1950,Plains,16.1,31
87,1961-1962,Plains,19.4,31
93,1973-1974,Plains,36,25
96,1979-1980,Plains,40,25
97,1981-1982,Plains,36,25
98,1983-1984,Plains,54.2,24
100,1987-1988,Plains,45.8,24
101,1989-1990,Plains,50,24
103,1991-1992,Plains,54.2,24
103,1993-1994,Plains,54.5,22
104,1995-1996,Plains,36.4,22
105,1997-1998,Plains,36.4,22
106,1999-2000,Plains,40.9,22
107,2001-2002,Plains,36.4,22
108,2003-2004,Plains,31.8,22
109,2005-2006,Plains,36.4,22
110,2007-2008,Plains,54.5,22
111,2009-2010,Plains,50,22
112,2011-2012,Plains,31.8,22
113,2013-2014,Plains,33.3,21
114,2015-2016,Plains,33.3,21
115,2017-2018,Plains,28.5,21
116,2019-2020,Plains,44.6,65
69,1925-1926,Rocky Mountains,28.6,14
75,1937-1938,Rocky Mountains,93.3,15
81,1949-1950,Rocky Mountains,75,16
87,1961-1962,Rocky Mountains,68.8,16
93,1973-1974,Rocky Mountains,42.1,19
96,1979-1980,Rocky Mountains,47.4,19
97,1981-1982,Rocky Mountains,36.8,19
98,1983-1984,Rocky Mountains,33.3,24
100,1987-1988,Rocky Mountains,37.5,24
101,1989-1990,Rocky Mountains,37.5,24
103,1991-1992,Rocky Mountains,45.8,24
103,1993-1994,Rocky Mountains,45.8,24
104,1995-1996,Rocky Mountains,25,24
105,1997-1998,Rocky Mountains,20.8,24
106,1999-2000,Rocky Mountains,20.8,24
107,2001-2002,Rocky Mountains,25,24
108,2003-2004,Rocky Mountains,25,28
109,2005-2006,Rocky Mountains,28.6,28
110,2007-2008,Rocky Mountains,39.3,28
111,2009-2010,Rocky Mountains,60.7,28
112,2011-2012,Rocky Mountains,35.7,28
113,2013-2014,Rocky Mountains,41.9,31
114,2015-2016,Rocky Mountains,32.3,31
115,2017-2018,Rocky Mountains,38.7,31
116,2019-2020,Rocky Mountains,51.6,31
69,1925-1926,South,97.1,104
75,1937-1938,South,98,101
81,1949-1950,South,98.1,105
87,1961-1962,South,93.4,106
93,1973-1974,South,68.2,107
96,1979-1980,South,71.3,108
97,1981-1982,South,63.9,108
98,1983-1984,South,71.2,116
100,1987-1988,South,66.4,116
101,1989-1990,South,67,115
103,1991-1992,South,66.4,116
103,1993-1994,South,61.6,125
104,1995-1996,South,48.8,125
105,1997-1998,South,43.2,125
106,1999-2000,South,43.5,124
107,2001-2002,South,42.4,125
108,2003-2004,South,41.9,131
109,2005-2006,South,37.4,131
110,2007-2008,South,41.2,131
111,2009-2010,South,45,131
112,2011-2012,South,28.2,131
113,2013-2014,South,29,138
114,2015-2016,South,26.8,138
115,2017-2018,South,28,138
116,2019-2020,South,34.8,138
