Occupation,Congress,Year,Representatives
Engineering,95,1977,0
Journalism,95,1977,12
Labor leader,95,1977,5
Law,95,1977,151
Law enforcement,95,1977,7
Medicine,95,1977,1
Military,95,1977,0
Professional sports,95,1977,2
Public service/politics,95,1977,25
Real estate,95,1977,10
Veteran,95,1977,193
New Occupations,95,1977,.
Artistic/Creative,95,1977,3
Healthcare,95,1977,0
Homemaker/Domestic,95,1977,1
Science,95,1977,3
Secreterial/clerical,95,1977,1
Technical/Trade,95,1977,3
Miscellaneous,95,1977,4
Acting/entertainer,96,1979,5
Aeronautics,96,1979,0
Agriculture,96,1979,10
Business or banking,96,1979,58
Clergy,96,1979,3
Congressional aide,96,1979,21
Education,96,1979,51
Engineering,96,1979,1
Journalism,96,1979,10
Labor leader,96,1979,3
Law,96,1979,133
Law enforcement,96,1979,6
Medicine,96,1979,2
Military,96,1979,0
Professional sports,96,1979,2
Public service/politics,96,1979,20
Real estate,96,1979,10
Veteran,96,1979,173
New Occupations,96,1979,.
Artistic/Creative,96,1979,4
Healthcare,96,1979,0
Homemaker/Domestic,96,1979,0
Science,96,1979,3
Secreterial/clerical,96,1979,2
Technical/Trade,96,1979,3
Miscellaneous,96,1979,4
Acting/entertainer,97,1981,6
Aeronautics,97,1981,0
Agriculture,97,1981,14
Business or banking,97,1981,51
Clergy,97,1981,2
Congressional aide,97,1981,20
Education,97,1981,43
Engineering,97,1981,2
Journalism,97,1981,10
Labor leader,97,1981,2
Law,97,1981,124
Law enforcement,97,1981,4
Medicine,97,1981,2
Military,97,1981,0
Professional sports,97,1981,2
Public service/politics,97,1981,20
Real estate,97,1981,8
Veteran,97,1981,142
New Occupations,97,1981,.
Artistic/Creative,97,1981,13
Healthcare,97,1981,1
Homemaker/Domestic,97,1981,0
Science,97,1981,2
Secreterial/clerical,97,1981,1
Technical/Trade,97,1981,4
Miscellaneous,97,1981,0
Acting/entertainer,98,1983,5
Aeronautics,98,1983,0
Agriculture,98,1983,14
Business or banking,98,1983,58
Clergy,98,1983,2
Congressional aide,98,1983,22
Education,98,1983,28
Engineering,98,1983,2
Journalism,98,1983,10
Labor leader,98,1983,2
Law,98,1983,134
Law enforcement,98,1983,3
Medicine,98,1983,3
Military,98,1983,0
Professional sports,98,1983,2
Public service/politics,98,1983,25
Real estate,98,1983,7
Veteran,98,1983,147
New Occupations,98,1983,.
Artistic/Creative,98,1983,8
Healthcare,98,1983,0
Homemaker/Domestic,98,1983,0
Science,98,1983,2
Secreterial/clerical,98,1983,2
Technical/Trade,98,1983,4
Miscellaneous,98,1983,4
Acting/entertainer,99,1985,7
Aeronautics,99,1985,1
Agriculture,99,1985,12
Business or banking,99,1985,60
Clergy,99,1985,2
Congressional aide,99,1985,25
Education,99,1985,26
Engineering,99,1985,2
Journalism,99,1985,9
Labor leader,99,1985,2
Law,99,1985,122
Law enforcement,99,1985,6
Medicine,99,1985,2
Military,99,1985,0
Professional sports,99,1985,2
Public service/politics,99,1985,30
Real estate,99,1985,8
Veteran,99,1985,130
New Occupations,99,1985,.
Artistic/Creative,99,1985,5
Healthcare,99,1985,0
Homemaker/Domestic,99,1985,0
Science,99,1985,2
Secreterial/clerical,99,1985,1
Technical/Trade,99,1985,3
Miscellaneous,99,1985,3
Acting/entertainer,100,1987,6
Aeronautics,100,1987,0
Agriculture,100,1987,10
Business or banking,100,1987,61
Clergy,100,1987,2
Congressional aide,100,1987,24
Education,100,1987,29
Engineering,100,1987,4
Journalism,100,1987,11
Labor leader,100,1987,3
Law,100,1987,123
Law enforcement,100,1987,5
Medicine,100,1987,2
Military,100,1987,0
Professional sports,100,1987,4
Public service/politics,100,1987,27
Real estate,100,1987,9
Veteran,100,1987,123
New Occupations,100,1987,.
Artistic/Creative,100,1987,1
Healthcare,100,1987,0
Homemaker/Domestic,100,1987,1
Science,100,1987,2
Secreterial/clerical,100,1987,0
Technical/Trade,100,1987,7
Miscellaneous,100,1987,3
Acting/entertainer,101,1989,6
Aeronautics,101,1989,1
Agriculture,101,1989,9
Business or banking,101,1989,60
Clergy,101,1989,2
Congressional aide,101,1989,23
Education,101,1989,33
Engineering,101,1989,2
Journalism,101,1989,8
Labor leader,101,1989,3
Law,101,1989,123
Law enforcement,101,1989,5
Medicine,101,1989,1
Military,101,1989,0
Professional sports,101,1989,3
Public service/politics,101,1989,26
Real estate,101,1989,10
Veteran,101,1989,119
New Occupations,101,1989,.
Artistic/Creative,101,1989,1
Healthcare,101,1989,1
Homemaker/Domestic,101,1989,0
Science,101,1989,2
Secreterial/clerical,101,1989,0
Technical/Trade,101,1989,6
Miscellaneous,101,1989,4
Acting/entertainer,102,1991,8
Aeronautics,102,1991,1
Agriculture,102,1991,11
Business or banking,102,1991,55
Clergy,102,1991,1
Congressional aide,102,1991,24
Education,102,1991,42
Engineering,102,1991,2
Journalism,102,1991,8
Labor leader,102,1991,4
Law,102,1991,122
Law enforcement,102,1991,6
Medicine,102,1991,1
Military,102,1991,0
Professional sports,102,1991,3
Public service/politics,102,1991,25
Real estate,102,1991,8
Veteran,102,1991,119
New Occupations,102,1991,.
Artistic/Creative,102,1991,3
Healthcare,102,1991,5
Homemaker/Domestic,102,1991,0
Science,102,1991,2
Secreterial/clerical,102,1991,0
Technical/Trade,102,1991,6
Miscellaneous,102,1991,12
Acting/entertainer,103,1993,7
Aeronautics,103,1993,0
Agriculture,103,1993,8
Business or banking,103,1993,47
Clergy,103,1993,1
Congressional aide,103,1993,22
Education,103,1993,46
Engineering,103,1993,2
Journalism,103,1993,7
Labor leader,103,1993,3
Law,103,1993,118
Law enforcement,103,1993,8
Medicine,103,1993,3
Military,103,1993,0
Professional sports,103,1993,0
Public service/politics,103,1993,36
Real estate,103,1993,10
Veteran,103,1993,99
New Occupations,103,1993,.
Artistic/Creative,103,1993,1
Healthcare,103,1993,1
Homemaker/Domestic,103,1993,0
Science,103,1993,1
Secreterial/clerical,103,1993,2
Technical/Trade,103,1993,2
Miscellaneous,103,1993,6
Acting/entertainer,104,1995,4
Aeronautics,104,1995,0
Agriculture,104,1995,5
Business or banking,104,1995,45
Clergy,104,1995,1
Congressional aide,104,1995,20
Education,104,1995,39
Engineering,104,1995,0
Journalism,104,1995,2
Labor leader,104,1995,1
Law,104,1995,90
Law enforcement,104,1995,7
Medicine,104,1995,1
Military,104,1995,0
Professional sports,104,1995,0
Public service/politics,104,1995,33
Real estate,104,1995,6
Veteran,104,1995,68
New Occupations,104,1995,.
Artistic/Creative,104,1995,0
Healthcare,104,1995,1
Homemaker/Domestic,104,1995,0
Science,104,1995,1
Secreterial/clerical,104,1995,0
Technical/Trade,104,1995,1
Miscellaneous,104,1995,1
Acting/entertainer,105,1997,0
Aeronautics,105,1997,0
Agriculture,105,1997,8
Business or banking,105,1997,55
Clergy,105,1997,1
Congressional aide,105,1997,19
Education,105,1997,40
Engineering,105,1997,1
Journalism,105,1997,4
Labor leader,105,1997,1
Law,105,1997,87
Law enforcement,105,1997,8
Medicine,105,1997,3
Military,105,1997,0
Professional sports,105,1997,0
Public service/politics,105,1997,54
Real estate,105,1997,3
Veteran,105,1997,59
New Occupations,105,1997,.
Artistic/Creative,105,1997,1
Healthcare,105,1997,1
Homemaker/Domestic,105,1997,.
Science,105,1997,.
Secreterial/clerical,105,1997,.
Technical/Trade,105,1997,0
Miscellaneous,105,1997,0
Acting/entertainer,106,1999,0
Aeronautics,106,1999,0
Agriculture,106,1999,8
Business or banking,106,1999,53
Clergy,106,1999,0
Congressional aide,106,1999,18
Education,106,1999,49
Engineering,106,1999,1
Journalism,106,1999,2
Labor leader,106,1999,1
Law,106,1999,87
Law enforcement,106,1999,8
Medicine,106,1999,5
Military,106,1999,0
Professional sports,106,1999,0
Public service/politics,106,1999,57
Real estate,106,1999,3
Veteran,106,1999,51
New Occupations,106,1999,.
Artistic/Creative,106,1999,1
Healthcare,106,1999,2
Homemaker/Domestic,106,1999,.
Science,106,1999,.
Secreterial/clerical,106,1999,.
Technical/Trade,106,1999,1
Miscellaneous,106,1999,1
Acting/entertainer,107,2001,0
Aeronautics,107,2001,0
Agriculture,107,2001,8
Business or banking,107,2001,56
Clergy,107,2001,1
Congressional aide,107,2001,18
Education,107,2001,53
Engineering,107,2001,1
Journalism,107,2001,1
Labor leader,107,2001,1
Law,107,2001,84
Law enforcement,107,2001,7
Medicine,107,2001,6
Military,107,2001,0
Professional sports,107,2001,0
Public service/politics,107,2001,70
Real estate,107,2001,2
Veteran,107,2001,46
New Occupations,107,2001,.
Artistic/Creative,107,2001,0
Healthcare,107,2001,3
Homemaker/Domestic,107,2001,1
Science,107,2001,.
Secreterial/clerical,107,2001,0
Technical/Trade,107,2001,1
Miscellaneous,107,2001,1
Acting/entertainer,108,2003,0
Aeronautics,108,2003,0
Agriculture,108,2003,8
Business or banking,108,2003,56
Clergy,108,2003,1
Congressional aide,108,2003,18
Education,108,2003,50
Engineering,108,2003,1
Journalism,108,2003,3
Labor leader,108,2003,5
Law,108,2003,86
Law enforcement,108,2003,6
Medicine,108,2003,5
Military,108,2003,0
Professional sports,108,2003,0
Public service/politics,108,2003,77
Real estate,108,2003,3
Veteran,108,2003,41
New Occupations,108,2003,.
Artistic/Creative,108,2003,0
Healthcare,108,2003,4
Homemaker/Domestic,108,2003,2
Science,108,2003,.
Secreterial/clerical,108,2003,0
Technical/Trade,108,2003,1
Miscellaneous,108,2003,1
Acting/entertainer,109,2005,1
Aeronautics,109,2005,0
Agriculture,109,2005,9
Business or banking,109,2005,65
Clergy,109,2005,2
Congressional aide,109,2005,21
Education,109,2005,52
Engineering,109,2005,1
Journalism,109,2005,3
Labor leader,109,2005,4
Law,109,2005,90
Law enforcement,109,2005,6
Medicine,109,2005,4
Military,109,2005,0
Professional sports,109,2005,0
Public service/politics,109,2005,116
Real estate,109,2005,3
Veteran,109,2005,34
New Occupations,109,2005,.
Artistic/Creative,109,2005,1
Healthcare,109,2005,4
Homemaker/Domestic,109,2005,2
Science,109,2005,2
Secreterial/clerical,109,2005,0
Technical/Trade,109,2005,1
Miscellaneous,109,2005,1
Acting/entertainer,110,2007,3
Aeronautics,110,2007,0
Agriculture,110,2007,8
Business or banking,110,2007,70
Clergy,110,2007,1
Congressional aide,110,2007,22
Education,110,2007,55
Engineering,110,2007,2
Journalism,110,2007,3
Labor leader,110,2007,7
Law,110,2007,94
Law enforcement,110,2007,7
Medicine,110,2007,3
Military,110,2007,2
Professional sports,110,2007,1
Public service/politics,110,2007,106
Real estate,110,2007,4
Veteran,110,2007,38
New Occupations,110,2007,.
Artistic/Creative,110,2007,0
Healthcare,110,2007,6
Homemaker/Domestic,110,2007,3
Science,110,2007,3
Secreterial/clerical,110,2007,4
Technical/Trade,110,2007,1
Miscellaneous,110,2007,2
Acting/entertainer,111,2009,3
Aeronautics,111,2009,.
Agriculture,111,2009,12
Business or banking,111,2009,112
Clergy,111,2009,1
Congressional aide,111,2009,20
Education,111,2009,59
Engineering,111,2009,5
Journalism,111,2009,5
Labor leader,111,2009,9
Law,111,2009,115
Law enforcement,111,2009,8
Medicine,111,2009,5
Military,111,2009,3
Professional sports,111,2009,1
Public service/politics,111,2009,167
Real estate,111,2009,10
Veteran,111,2009,41
New Occupations,111,2009,.
Artistic/Creative,111,2009,0
Healthcare,111,2009,7
Homemaker/Domestic,111,2009,8
Science,111,2009,3
Secreterial/clerical,111,2009,7
Technical/Trade,111,2009,2
Miscellaneous,111,2009,1
Acting/entertainer,112,2011,1
Aeronautics,112,2011,0
Agriculture,112,2011,6
Business or banking,112,2011,65
Clergy,112,2011,1
Congressional aide,112,2011,16
Education,112,2011,46
Engineering,112,2011,3
Journalism,112,2011,3
Labor leader,112,2011,7
Law,112,2011,76
Law enforcement,112,2011,3
Medicine,112,2011,2
Military,112,2011,1
Professional sports,112,2011,1
Public service/politics,112,2011,101
Real estate,112,2011,4
Veteran,112,2011,20
New Occupations,112,2011,.
Artistic/Creative,112,2011,0
Healthcare,112,2011,4
Homemaker/Domestic,112,2011,7
Science,112,2011,2
Secreterial/clerical,112,2011,5
Technical/Trade,112,2011,2
Miscellaneous,112,2011,1
Acting/entertainer,113,2013,0
Aeronautics,113,2013,0
Agriculture,113,2013,5
Business or banking,113,2013,65
Clergy,113,2013,2
Congressional aide,113,2013,15
Education,113,2013,50
Engineering,113,2013,4
Journalism,113,2013,5
Labor leader,113,2013,10
Law,113,2013,80
Law enforcement,113,2013,0
Medicine,113,2013,4
Military,113,2013,1
Professional sports,113,2013,1
Public service/politics,113,2013,106
Real estate,113,2013,4
Veteran,113,2013,18
New Occupations,113,2013,.
Artistic/Creative,113,2013,0
Healthcare,113,2013,9
Homemaker/Domestic,113,2013,12
Science,113,2013,4
Secreterial/clerical,113,2013,11
Technical/Trade,113,2013,2
Miscellaneous,113,2013,1
Acting/entertainer,114,2015,0
Aeronautics,114,2015,0
Agriculture,114,2015,4
Business or banking,114,2015,56
Clergy,114,2015,3
Congressional aide,114,2015,25
Education,114,2015,48
Engineering,114,2015,2
Journalism,114,2015,6
Labor leader,114,2015,11
Law,114,2015,71
Law enforcement,114,2015,1
Medicine,114,2015,4
Military,114,2015,1
Professional sports,114,2015,0
Public service/politics,114,2015,88
Real estate,114,2015,6
Veteran,114,2015,19
New Occupations Included,114,2015,.
Artistic/Creative,114,2015,1
Healthcare,114,2015,8
Homemaker/Domestic,114,2015,11
Science,114,2015,4
Secreterial/Clerical,114,2015,10
Technical/Trade,114,2015,3
Miscellaneous,114,2015,4
Acting/entertainer,115,2017,0
Aeronautics,115,2017,0
Agriculture,115,2017,4
Business or banking,115,2017,57
Clergy,115,2017,3
Congressional aide,115,2017,25
Education,115,2017,46
Engineering,115,2017,3
Journalism,115,2017,5
Labor leader,115,2017,13
Law,115,2017,76
Law enforcement,115,2017,3
Medicine,115,2017,3
Military,115,2017,0
Professional sports,115,2017,1
Public service/politics,115,2017,92
Real estate,115,2017,6
Veteran,115,2017,18
New Occupations,115,2017,.
Artistic/Creative,115,2017,1
Healthcare,115,2017,8
Homemaker/Domestic,115,2017,9
Science,115,2017,5
Secreterial/clerical,115,2017,10
Technical/Trade,115,2017,4
Miscellaneous,115,2017,3
Acting/entertainer,116,2019,0
Aeronautics,116,2019,0
Agriculture,116,2019,4
Business or banking,116,2019,71
Clergy,116,2019,3
Congressional aide,116,2019,30
Education,116,2019,47
Engineering,116,2019,6
Journalism,116,2019,6
Labor leader,116,2019,14
Law,116,2019,89
Law enforcement,116,2019,4
Medicine,116,2019,5
Military,116,2019,4
Professional sports,116,2019,3
Public service/politics,116,2019,111
Real estate,116,2019,6
Veteran,116,2019,24
New Occupations Included,116,2019,.
Artistic/Creative,116,2019,2
Healthcare,116,2019,9
Homemaker/Domestic,116,2019,7
Science,116,2019,4
Secreterial/Clerical,116,2019,8
Technical/Trade,116,2019,3
Miscellaneous,116,2019,2
