Query,Time,Value,Unit
"text='coup' and channel=""MSNBC""",2020-01-01,1,seconds
"text='coup' and channel=""MSNBC""",2020-01-04,2,seconds
"text='coup' and channel=""MSNBC""",2020-01-05,2,seconds
"text='coup' and channel=""MSNBC""",2020-01-06,1,seconds
"text='coup' and channel=""MSNBC""",2020-01-07,1,seconds
"text='coup' and channel=""MSNBC""",2020-01-09,1,seconds
"text='coup' and channel=""MSNBC""",2020-01-10,2,seconds
"text='coup' and channel=""MSNBC""",2020-01-11,1,seconds
"text='coup' and channel=""MSNBC""",2020-01-12,3,seconds
"text='coup' and channel=""MSNBC""",2020-01-17,1,seconds
"text='coup' and channel=""MSNBC""",2020-01-25,1,seconds
"text='coup' and channel=""MSNBC""",2020-01-30,4,seconds
"text='coup' and channel=""MSNBC""",2020-02-03,1,seconds
"text='coup' and channel=""MSNBC""",2020-02-06,1,seconds
"text='coup' and channel=""MSNBC""",2020-02-08,1,seconds
"text='coup' and channel=""MSNBC""",2020-02-09,1,seconds
"text='coup' and channel=""MSNBC""",2020-02-10,1,seconds
"text='coup' and channel=""MSNBC""",2020-02-21,1,seconds
"text='coup' and channel=""MSNBC""",2020-02-22,1,seconds
"text='coup' and channel=""MSNBC""",2020-03-01,1,seconds
"text='coup' and channel=""MSNBC""",2020-03-02,1,seconds
"text='coup' and channel=""MSNBC""",2020-03-03,6,seconds
"text='coup' and channel=""MSNBC""",2020-04-01,1,seconds
"text='coup' and channel=""MSNBC""",2020-04-02,1,seconds
"text='coup' and channel=""MSNBC""",2020-04-05,1,seconds
"text='coup' and channel=""MSNBC""",2020-04-19,1,seconds
"text='coup' and channel=""MSNBC""",2020-05-01,1,seconds
"text='coup' and channel=""MSNBC""",2020-05-10,1,seconds
"text='coup' and channel=""MSNBC""",2020-05-11,1,seconds
"text='coup' and channel=""MSNBC""",2020-05-14,3,seconds
"text='coup' and channel=""MSNBC""",2020-05-15,5,seconds
"text='coup' and channel=""MSNBC""",2020-05-18,1,seconds
"text='coup' and channel=""MSNBC""",2020-05-24,1,seconds
"text='coup' and channel=""MSNBC""",2020-06-14,2,seconds
"text='coup' and channel=""MSNBC""",2020-06-25,2,seconds
"text='coup' and channel=""MSNBC""",2020-06-26,3,seconds
"text='coup' and channel=""MSNBC""",2020-06-28,1,seconds
"text='coup' and channel=""MSNBC""",2020-07-17,2,seconds
"text='coup' and channel=""MSNBC""",2020-07-19,1,seconds
"text='coup' and channel=""MSNBC""",2020-07-24,1,seconds
"text='coup' and channel=""MSNBC""",2020-07-25,1,seconds
"text='coup' and channel=""MSNBC""",2020-07-30,1,seconds
"text='coup' and channel=""MSNBC""",2020-08-03,5,seconds
"text='coup' and channel=""MSNBC""",2020-08-04,7,seconds
"text='coup' and channel=""MSNBC""",2020-08-05,2,seconds
"text='coup' and channel=""MSNBC""",2020-08-13,2,seconds
"text='coup' and channel=""MSNBC""",2020-08-14,5,seconds
"text='coup' and channel=""MSNBC""",2020-08-20,2,seconds
"text='coup' and channel=""MSNBC""",2020-09-01,1,seconds
"text='coup' and channel=""MSNBC""",2020-09-05,1,seconds
