Query,Time,Value,Unit
"text='coup' and channel=""FOX""",2020-01-01,1,seconds
"text='coup' and channel=""FOX""",2020-01-04,2,seconds
"text='coup' and channel=""FOX""",2020-01-12,8.01,seconds
"text='coup' and channel=""FOX""",2020-01-13,2,seconds
"text='coup' and channel=""FOX""",2020-01-16,1,seconds
"text='coup' and channel=""FOX""",2020-01-17,1,seconds
"text='coup' and channel=""FOX""",2020-01-18,1,seconds
"text='coup' and channel=""FOX""",2020-01-19,2,seconds
"text='coup' and channel=""FOX""",2020-01-24,10,seconds
"text='coup' and channel=""FOX""",2020-01-25,2,seconds
"text='coup' and channel=""FOX""",2020-01-26,2,seconds
"text='coup' and channel=""FOX""",2020-01-28,6,seconds
"text='coup' and channel=""FOX""",2020-01-29,1,seconds
"text='coup' and channel=""FOX""",2020-01-30,4.934,seconds
"text='coup' and channel=""FOX""",2020-01-31,2,seconds
"text='coup' and channel=""FOX""",2020-02-01,2,seconds
"text='coup' and channel=""FOX""",2020-02-02,4,seconds
"text='coup' and channel=""FOX""",2020-02-03,2,seconds
"text='coup' and channel=""FOX""",2020-02-06,2,seconds
"text='coup' and channel=""FOX""",2020-02-07,4,seconds
"text='coup' and channel=""FOX""",2020-02-08,4,seconds
"text='coup' and channel=""FOX""",2020-02-16,2,seconds
"text='coup' and channel=""FOX""",2020-02-20,1,seconds
"text='coup' and channel=""FOX""",2020-02-25,1,seconds
"text='coup' and channel=""FOX""",2020-02-27,2,seconds
"text='coup' and channel=""FOX""",2020-03-01,2,seconds
"text='coup' and channel=""FOX""",2020-03-02,2,seconds
"text='coup' and channel=""FOX""",2020-03-03,6,seconds
"text='coup' and channel=""FOX""",2020-03-04,1,seconds
"text='coup' and channel=""FOX""",2020-03-07,1,seconds
"text='coup' and channel=""FOX""",2020-04-02,1,seconds
"text='coup' and channel=""FOX""",2020-04-03,1,seconds
"text='coup' and channel=""FOX""",2020-04-05,1,seconds
"text='coup' and channel=""FOX""",2020-04-11,1,seconds
"text='coup' and channel=""FOX""",2020-04-12,2,seconds
"text='coup' and channel=""FOX""",2020-04-22,1,seconds
