GISJOIN,YEAR,STATE,STATEA,AREANAME,AN9001,AN9002,AN9003,AN9004,AN9005,AN9006,AN9007,AN9008,AN9009,AN9010,AN9011,AN9012,AN9013,AN9014,AN9015,AN9016,AN9017,AN9018,AN9019,AN9020,AN9021,AN9022,AN9023,AN9024,AN9025,AN9026,AN9027,AN9028,AN9029,AN9030,AN9031,AN9032,AN9033,AN9034,AN9035,AN9036,AN9037,AN9038,AN9039,AN9040,AN9041,AN9042,AN9043,AN9044,AN9045,AN9046,AN9047,AN9048,AN9049,AN9050,AN9051,AN9052,AN9053,AN9054,AN9055,AN9056,AN9057,AN9058,AN9059,AN9060,AN9061,AN9062,AN9063,AN9064,AN9065,AN9066,AN9067,AN9068,AN9069,AN9070,AN9071,AN9072,AN9073,AN9074,AN9075,AN9076,AN9077,AN9078,AN9079,AN9080,AN9081,AN9082,AN9083,AN9084,AN9085,AN9086,AN9087,AN9088,AN9089,AN9090,AN9091,AN9092,AN9093,AN9094,AN9095,AN9096,AN9097,AN9098,AN9099,AN9100,AN9101,AN9102,AN9103,AN9104,AN9105,AN9106,AN9107,AN9108,AN9109,AN9110,AN9111,AN9112,AN9113,AN9114,AN9115,AN9116,AN9117,AN9118,AN9119,AN9120,AN9121,AN9122,AN9123,AN9124,AN9125,AN9126,AN9127,AN9128,AN9129,AN9130,AN9131,AN9132,AN9133,AN9134,AN9135,AN9136,AN9137,AN9138,AN9139,AN9140,AN9141,AN9142,AN9143,AN9144,AN9145,AN9146,AN9147,AN9148,AN9149,AN9150,AN9151,AN9152,AN9153,AN9154,AN9155,AN9156,AN9157,AN9158,AN9159,AN9160,AN9161,AN9162,AN9163,AN9164,AN9165,AN9166,AN9167,AN9168,AN9169,AN9170,AN9171,AN9172,AN9173,AN9174,AN9175,AN9176,AN9177,AN9178,AN9179,AN9180,AN9181,AN9182,AN9183,AN9184,AN9185,AN9186,AN9187,AN9188,AN9189,AN9190,AN9191,AN9192,AN9193,AN9194,AN9195,AN9196,AN9197,AN9198,AN9199,AN9200,AN9201,AN9202,AN9203,AN9204,AN9205,AN9206,AN9207,AN9208,AN9209,AN9210,AN9211,AN9212,AN9213,AN9214,AN9215,AN9216,AN9217,AN9218,AN9219,AN9220,AN9221,AN9222,AN9223,AN9224,AN9225,AN9226,AN9227,AN9228,AN9229,AN9230,AN9231,AN9232,AN9233,AN9234,AN9235,AN9236,AN9237,AN9238,AN9239,AN9240,AN9241,AN9242,AN9243,AN9244,AN9245,AN9246,AN9247,AN9248,AN9249,AN9250,AN9251,AN9252,AN9253,AN9254,AN9255,AN9256,AN9257,AN9258,AN9259,AN9260,AN9261,AN9262,AN9263,AN9264,AN9265,AN9266,AN9267,AN9268,AN9269,AN9270,AN9271,AN9272,AN9273,AN9274,AN9275,AN9276,AN9277,AN9278,AN9279,AN9280,AN9281,AN9282,AN9283,AN9284,AN9285,AN9286,AN9287,AN9288,AN9289,AN9290,AN9291,AN9292,AN9293,AN9294,AN9295,AN9296,AN9297,AN9298,AN9299,AN9300,AN9301,AN9302,AN9303,AN9304,AN9305,AN9306,AN9307,AN9308,AN9309,AN9310,AN9311,AN9312,AN9313,AN9314,AN9315,AN9316,AN9317,AN9318,AN9319,AN9320,AN9321,AN9322,AN9323,AN9324,AN9325,AN9326,AN9327,AN9328,AN9329,AN9330,AN9331,AN9332,AN9333,AN9334,AN9335,AN9336,AN9337,AN9338,AN9339,AN9340,AN9341,AN9342,AN9343,AN9344,AN9345,AN9346,AN9347,AN9348,AN9349,AN9350,AN9351,AN9352,AN9353,AN9354,AN9355,AN9356,AN9357,AN9358,AN9359,AN9360,AN9361,AN9362,AN9363,AN9364
"G130","1870","Georgia","130","Georgia",7787,220,31,576,47,2667,539577,193,140,20,18,671,249,256,544,615,60,11,518,169,2,0,139,367,2208,19789,349,1,829,143,36708,8301,202,164,4390,45,0,0,6,0,113,0,2,1,0,1,4,1,3,36,5,1,0,6,34,21,23,242,4,3,27,42,7,308,2760,13,6697,0,0,42,42,11,50,1,0,0,7,14,0,88,13,32,0,8,36,35,103,0,55,8,15,4443,136,0,12,14,2110,494364,6,5,0,3,280,177,6,1036,20,0,0,801,58,0,2,2,10,35,7063,17,0,23,8,18226,1092,51,3,14642,0,0,0,0,0,87,0,0,0,0,0,1,0,0,37,314,0,0,0,0,0,0,4,1,0,5,0,2,4,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,31,0,0,0,0,1,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G165","1870","Idaho Territory","165","Idaho Territory",26,24,204,59,5,5,23,399,252,311,22,236,26,242,65,196,69,8,18,533,27,3,54,49,800,44,549,346,415,16,17,109,26,75,166,117,0,0,6,1,12,921,1,13,1,478,47,1,0,1,0,2,71,3,26,5,1,332,2,1,0,88,3,144,599,0,1983,5,0,9,4,0,11,0,0,0,40,61,0,12,10,10,16,9,4,91,52,0,3,3,0,0,0,3,0,0,0,0,1,0,1,0,7,1,0,4,3,0,0,0,3,0,0,0,0,4,1,1,1,1,0,1,0,1,0,9,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"G170","1870","Illinois","170","Illinois",2939,1918,856,11047,1871,95,1963,1181106,86422,11312,999,63297,1876,8771,12185,22111,9343,1171,1768,26824,205,43,8209,16305,133290,12575,162623,188,98352,2427,2701,44012,913,18501,33668,12660,0,2,85,11,624,17,10,19,19,30,6,4,9,732,31,73,780,124,2099,1071,7350,32388,0,5,32,3711,29,10908,203750,0,192951,14,0,4180,420,25,761,0,753,2,65,11880,6,1696,76,306,15,45,50,29979,8980,13,150,240,24,969,327,4,15,14,11,329,8387,385,72,22,4405,396,9,403,45,85,7,929,4048,3,0,4,31,201,594,389,2,262,19,298,3502,52,14,2074,111,0,0,0,0,100,0,5,0,2,0,0,0,0,24,5,2,2,0,0,0,0,162,0,2,0,0,7,3,8,0,9,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,9,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G180","1870","Indiana","180","Indiana",812,420,206,2131,1958,37,1580,16389,1038542,3472,494,67153,696,1215,8421,3478,5647,387,465,3312,109,5,1006,6666,29486,23442,188670,594,57224,401,1990,11597,260,2986,31383,1224,0,0,14,5,267,0,22,4,5,3,9,4,10,209,11,5,6,23,443,462,141,4733,5,5,10,315,41,6362,78056,0,42264,0,0,873,36,16,95,0,98,1,15,123,0,523,13,61,3,16,21,2180,4287,3,28,96,57,155,31,0,3,10,10,148,209,9811,11,5,9371,89,0,103,12,46,1,189,123,0,0,5,16,30,1354,687,8,65,1,180,678,7,1,1106,9,0,0,0,0,28,0,0,0,0,0,0,1,0,14,1,1,0,0,0,0,0,30,0,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,222,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G190","1870","Iowa","190","Iowa",277,288,472,5184,868,55,305,65261,64006,427224,781,13536,461,5942,5900,8915,8903,2677,431,12279,867,63,5051,5684,79091,4982,126161,165,73361,914,509,5779,225,12195,19052,24285,2,3,186,89,167,22,16,51,18,378,21,9,21,411,14,34,2,96,2691,650,6765,17894,4,0,13,2827,11,3130,66160,1,65442,1,0,4513,134,12,54,5,1344,0,14,17554,0,178,3,96,2,29,27,10796,3937,5,73,100,53,122,109,1,1,8,4,79,129,77,1383,6,647,35,1,72,14,14,6,189,1552,6,0,6,4,52,107,118,1,74,0,57,306,10,9,506,22,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,13,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,13,4,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,5,2,0,0,1,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G200","1870","Kansas","200","Kansas",550,1194,203,1397,302,24,661,35454,30775,12990,59062,13558,310,1833,1946,2887,4280,701,387,23829,633,31,1157,1842,18526,3192,38003,98,19220,363,330,5512,796,2369,8763,4099,2,2,151,17,181,12,87,35,65,73,11,6,9,113,10,6,10,40,448,199,105,5295,1,0,1,502,0,1274,12774,0,19919,7,1,300,38,9,54,0,103,0,55,588,0,169,4,56,3,8,4,4954,1328,4,17,29,21,168,893,2,4,5,4,127,52,66,14,3797,2360,98,4,121,7,80,7,132,5924,5,1,1,3,29,420,179,1,66,1,74,696,178,0,1142,10,2,0,3,0,23,0,352,1,1,2,0,1,0,10,8,0,0,0,0,0,0,18,0,0,1,1,0,0,1,0,4,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,1,52,112,69,462,0,0,0,0,0,106,0,0,22,1,0,0,0,3,0,23,0,1,0,0,1,1,1,1,19,0,0,0,0,0,0,17,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G210","1870","Kentucky","210","Kentucky",1780,888,73,391,189,47,2302,3960,11604,330,100,875415,1003,329,2658,779,229,57,1367,4023,40,35,229,738,4270,11916,19359,9,6150,127,1893,44390,883,261,37171,140,0,0,1,1,145,0,3,0,4,4,2,2,1,48,7,25,0,14,146,100,40,1064,2,7,9,53,47,2052,30318,0,27199,6,0,270,107,0,325,0,9,0,27,16,0,109,3,28,3,7,16,112,1147,2,26,27,23,323,92,0,1,2,13,299,45,83,0,1,205583,208,8,406,13,14,1,408,528,0,0,0,9,39,960,174,1,55,2,311,5560,57,0,6931,3,0,0,0,0,26,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,17,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,1,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G220","1870","Louisiana","220","Louisianna",10708,2111,72,305,117,671,7874,649,639,67,22,2315,237453,405,1001,825,95,67,13791,1312,10,0,134,345,3735,2046,1313,0,1541,94,3789,2737,2374,203,2359,104,0,0,0,0,114,0,8,0,0,0,0,0,0,45,13,22,7,13,433,220,23,673,8,9,813,290,13,12288,18912,0,20800,49,0,232,29,9,1884,0,1,9,308,76,41,198,122,165,0,33,1116,358,873,9,520,37,9,9738,1635,3,12,30,826,8095,69,42,2,1,6005,263956,23,5485,60,9,93,17831,1613,0,0,3,23,178,5237,186,0,157,8,7048,4127,2335,5,27673,10,0,0,0,0,459,0,6,0,0,0,0,0,0,84,414,5,0,0,2,0,0,41,0,5,181,1,0,53,21,0,19,0,0,0,0,4,5,0,0,0,101,0,0,0,3,0,2,7,14,0,0,0,228,9,28,0,1,0,0,0,0,0,0,0,0,4,0,453,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"G230","1870","Maine","230","Maine",22,13,108,439,19,35,59,144,39,49,13,26,52,549650,108,11091,60,95,14,21,1,5,9730,155,1421,19,160,0,386,471,52,11,18,1259,136,146,0,0,3,0,39,0,0,4,2,1,2,0,0,19,9,6,3,27,10,11,1,26661,8,3,16,102,21,136,508,0,20667,3,0,26,0,12,48,0,0,1,3,58,0,6,68,18,8,30,41,91,9,9,41,42,9,1,5,0,3,3,5,13,0,1,0,0,8,21,951,35,48,0,0,2,2,0,0,20,7,28,34,0,0,10,2,17,9,0,5,193,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,119,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G240","1870","Maryland","240","Maryland",111,48,85,555,6529,69,278,293,185,70,16,222,287,422,462458,1182,95,13,122,245,5,1,187,1816,3783,696,1130,1,22434,188,430,163,53,241,14613,64,0,0,0,1,2888,0,7,0,7,3,0,0,2,240,8,17,38,32,266,41,789,621,3,4,161,106,33,640,47045,0,31983,4,0,236,46,0,210,0,0,0,19,17,2,145,28,50,0,60,48,100,297,4,150,47,9,33,2,5,13,347,14,122,3,9,0,0,47,50,2,167420,30,0,0,42,14,0,0,1,37,107,297,33,0,412,9,149,68,23,2,5624,0,0,0,0,0,323,0,0,0,0,0,0,0,0,2,12,2,6,0,0,0,0,23,0,0,13,1,11,9,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G250","1870","Massachusetts","250","Massachusetts",150,18,446,16971,247,57,253,962,234,260,53,208,286,55460,840,896372,496,186,50,197,8,6,47692,1790,24031,207,1385,27,2939,14167,308,142,70,22110,1124,519,1,2,2,0,230,0,9,0,4,2,9,3,7,303,77,106,1825,80,255,104,110,69491,7,29,117,267,153,1627,13070,0,259857,24,0,479,14,57,453,2,5,5,18,302,41,272,730,148,51,135,177,1384,491,49,177,102,22,26,3,5,338,66,31,122,10,2,0,0,37,60,105,751,6819,6,0,16,13,0,0,79,103,592,465,42,0,318,185,224,39,2,70,2313,2,0,0,0,0,192,0,0,0,0,0,0,1,0,18,22,2,119,2,0,0,0,548,0,0,11,0,13,2,2,0,21,0,0,1,0,1,1,0,0,0,2,0,8,0,4,6,2,16,2,2,0,1,102,1,1,0,1,0,4,2,0,0,0,0,0,0,0,0,6,2,106,0,0,0,0,0,0,2,0,5,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"G260","1870","Michigan","260","Michigan",72,44,296,7382,620,37,102,5983,11357,1478,162,675,149,3922,1062,10803,498746,480,49,538,36,12,3632,7987,231062,491,61039,71,28211,1132,103,344,65,14434,1791,5920,0,1,19,4,109,0,6,3,5,8,4,2,0,182,35,38,13,38,795,832,1179,88275,0,3,12,1354,216,3120,64143,0,86194,3,0,12559,144,0,110,0,0,0,22,1516,2,974,31,194,6,16,34,2406,2116,17,93,160,2,96,13,1,30,72,20,87,70,779,8,8,1044,47,10,203,36,3860,2,52,126,0,0,1,46,438,417,1167,0,295,5,117,343,0,11,1193,28,0,0,0,0,48,0,0,0,2,0,0,0,0,13,2,1,0,0,0,0,0,1120,0,0,1,0,5,1,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,2,4,0,2,0,0,0,0,0,4662,5,0,2,0,0,0,0,9,0,1,0,1,0,0,0,0,0,0,38,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G270","1870","Minnesota","270","Minnesota",101,51,87,2356,169,23,94,10962,7423,3956,50,1667,170,9938,711,5726,3735,125759,149,1359,44,11,3271,1346,39485,405,12618,21,11945,564,68,276,45,6811,1731,24007,0,154,10,53,98,1,2,15,2,4,0,10,3,93,2,7,1,56,2647,622,2166,16681,11,6,0,1910,0,1743,41364,0,30592,0,0,1855,209,7,40,0,1173,0,5,35940,1,246,0,109,2,12,5,20987,2162,11,7,83,16,46,9,0,3,1,0,13,17,15,14,1,76,15,1,8,5,6,115,45,88,0,0,0,2,21,33,32,0,20,0,12,44,2,4,81,13,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,617,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,28,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G280","1870","Mississippi","280","Mississippi",37327,1160,49,176,53,348,15546,874,546,103,14,3067,4598,137,573,263,116,9,244236,845,5,0,68,142,1397,13430,1073,4,786,41,19352,18520,712,113,5838,94,0,0,1,0,46,0,4,1,1,0,0,0,0,247,3,17,1,11,85,10,9,363,4,0,18,193,25,621,2954,0,4902,8,0,35,10,3,147,0,2,0,18,78,2,78,2,21,0,8,78,970,266,2,22,9,6,22192,1016,6,5,13,325,12713,64,29,3,3,5860,4819,15,2677,11,6,1,319360,1565,1,0,5,8,61,14511,98,0,69,5,16604,13284,433,13,27713,28,0,0,0,0,208,0,11,1,0,1,0,0,0,270,122,0,1,0,0,0,0,12,0,0,3,0,0,9,6,0,4,0,0,0,0,1,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,9,1,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G290","1870","Missouri","290","Missouri",4421,9846,700,2061,1106,129,3379,72324,51219,22383,4783,92607,3112,2312,6945,5694,4495,1114,2106,788491,1221,32,1381,3188,31736,17644,75560,95,35113,635,2444,66352,2889,2956,52207,6261,1,2,160,30,546,44,74,50,58,151,4,10,5,896,20,39,15,82,1493,536,3517,8406,6,1,35,665,208,6291,113618,0,74139,2,0,1167,599,0,936,0,0,0,81,297,1,619,21,140,5,33,54,2302,6597,4,97,130,18,821,1117,6,9,26,47,464,292,84,73,150,10254,933,4,674,37,75,11,1375,85501,3,1,3,12,69,1111,502,1,269,7,407,3858,497,5,9098,21,0,0,2,1,53,3,19,0,12,0,0,0,0,88,17,1,0,0,0,0,0,30,1,0,2,0,7,2,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,1,0,0,0,1,1,0,1,1,1,0,0,0,2,7,0,0,7,0,0,0,0,0,0,2,3,14,1,0,0,0,0,0,0,0,2,2,0,2,1,0,1,0,0,0,0,2,0,2,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
