Query,Time,Value,Unit
"name=""mitt romney""and channel=""MSNBC""",2011-08-29,1121.5429999999997,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-09-05,4985.625,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-09-12,2118.432,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-09-19,2385.402000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-09-26,2465.774000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-10-03,2810.829000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-10-10,7380.458999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-10-17,4912.376000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-10-24,3509.125,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-10-31,2690.3640000000014,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-11-07,3164.966000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-11-14,1792.0320000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-11-21,5352.298000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-11-28,4931.042,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-12-05,8169.428999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-12-12,8282.685000000005,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-12-19,6883.976000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-12-26,6152.189000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-01-02,11851.391,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-01-09,18385.354000000007,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-01-16,16677.46,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-01-23,12452.612000000003,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-01-30,16859.037000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-02-06,10003.552000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-02-13,9092.078000000001,seconds
