Query,Time,Value,Unit
"name=""mitt romney""and channel=""CNN""",2010-01-25,6.003,seconds
"name=""mitt romney""and channel=""CNN""",2010-02-15,42.009,seconds
"name=""mitt romney""and channel=""CNN""",2010-03-01,681.582,seconds
"name=""mitt romney""and channel=""CNN""",2010-03-08,12.009,seconds
"name=""mitt romney""and channel=""CNN""",2010-03-22,2485.212,seconds
"name=""mitt romney""and channel=""CNN""",2010-04-05,18.012,seconds
"name=""mitt romney""and channel=""CNN""",2010-04-12,92.283,seconds
"name=""mitt romney""and channel=""CNN""",2010-04-19,18.003,seconds
"name=""mitt romney""and channel=""CNN""",2010-04-26,12,seconds
"name=""mitt romney""and channel=""CNN""",2010-05-10,3,seconds
"name=""mitt romney""and channel=""CNN""",2010-08-23,6.003,seconds
"name=""mitt romney""and channel=""CNN""",2010-09-06,6.003,seconds
"name=""mitt romney""and channel=""CNN""",2010-09-13,72.048,seconds
"name=""mitt romney""and channel=""CNN""",2010-09-20,93.46,seconds
"name=""mitt romney""and channel=""CNN""",2010-09-27,18.009,seconds
"name=""mitt romney""and channel=""CNN""",2010-10-18,9.006,seconds
"name=""mitt romney""and channel=""CNN""",2010-10-25,24.018,seconds
"name=""mitt romney""and channel=""CNN""",2010-11-01,36.012,seconds
"name=""mitt romney""and channel=""CNN""",2010-11-08,12.006,seconds
"name=""mitt romney""and channel=""CNN""",2010-11-15,24.015,seconds
"name=""mitt romney""and channel=""CNN""",2010-11-29,18.015,seconds
"name=""mitt romney""and channel=""CNN""",2010-12-06,3,seconds
"name=""mitt romney""and channel=""CNN""",2010-12-13,42.03,seconds
"name=""mitt romney""and channel=""CNN""",2010-12-20,10.438,seconds
"name=""mitt romney""and channel=""CNN""",2010-12-27,45.036,seconds
"name=""mitt romney""and channel=""CNN""",2011-01-03,48.042,seconds
"name=""mitt romney""and channel=""CNN""",2011-01-10,30.024,seconds
"name=""mitt romney""and channel=""CNN""",2011-01-17,48.012,seconds
"name=""mitt romney""and channel=""CNN""",2011-01-24,9,seconds
"name=""mitt romney""and channel=""CNN""",2011-01-31,1354.001,seconds
"name=""mitt romney""and channel=""CNN""",2011-02-07,102.063,seconds
"name=""mitt romney""and channel=""CNN""",2011-02-14,3,seconds
"name=""mitt romney""and channel=""CNN""",2011-02-21,30.021,seconds
"name=""mitt romney""and channel=""CNN""",2011-02-28,3,seconds
"name=""mitt romney""and channel=""CNN""",2011-03-07,118.467,seconds
"name=""mitt romney""and channel=""CNN""",2011-03-28,15,seconds
