"weekly_correlation","solution_diff","solved_ifr","it","initial_r0","incubation_period","distancing_effect","prop_susceptible","initial_shutdown","missing_death_rate"
0.853132322873677,5.55555555555475,0.00416916531911352,4752,2.25,4,0.6,0.5,2020-03-09,0.55
0.833013565831745,5.55555555555475,0.00669101119319521,4677,2.25,4,0.7,0.4,2020-03-09,0.55
0.779810818870428,5.55555555555475,0.00149220629279812,4715,3,5,0.4,0.5,2020-03-09,0.55
0.909267443227176,6,0.00253389988582523,3427,2.25,4,0.5,0.7,2020-03-07,0.5
0.817721096036077,6,0.0166525817701655,3806,2,4.5,0.4,0.6,2020-03-09,0.5
0.697556109541505,6,0.00674658219427845,3223,2.5,6,0.4,0.5,2020-03-07,0.5
0.883466011080348,6.07692307692196,0.00103583025421661,408,2.5,4.5,0.4,0.7,2020-03-07,0.35
0.919907485999369,6.33333333332848,0.0143107070296742,1382,2.25,4.5,0.7,0.6,2020-03-07,0.4
0.872678973744634,6.33333333332848,0.00108257763082869,1814,2.75,5,0.4,0.6,2020-03-09,0.4
0.817578188085083,6.33333333332848,0.0107664201845346,1648,2.5,6,0.5,0.4,2020-03-09,0.4
0.905941213859776,6.44444444444525,0.00393591905890619,4227,2.25,4,0.5,0.5,2020-03-07,0.55
0.858804584076533,6.45454545454413,0.0108856804597624,2348,2.5,6,0.5,0.6,2020-03-07,0.45
0.778299348128245,6.45454545454413,0.00197496755276785,2713,2.5,5,0.4,0.5,2020-03-09,0.45
0.849082471657619,6.54545454545587,0.00164327291178721,2844,2.75,5.5,0.5,0.6,2020-03-09,0.45
0.814815979483758,6.66666666667152,0.00170458217129676,1733,2.5,4.5,0.5,0.5,2020-03-09,0.4
0.789300051613598,6.66666666667152,0.00793088408645289,1601,2,4,0.4,0.4,2020-03-09,0.4
0.914820678302007,6.92307692307804,0.00152314397170927,333,2.5,4.5,0.5,0.6,2020-03-07,0.35
0.869882944316353,6.92307692307804,0.00250325608221343,53,2.5,4,0.6,0.3,2020-03-07,0.35
0.863616276000807,6.92307692307804,0.00154338454081108,628,2.5,4,0.5,0.4,2020-03-09,0.35
0.861704789968519,6.92307692307804,0.00944452065174124,599,2.75,6,0.7,0.3,2020-03-09,0.35
0.858069639644431,6.92307692307804,0.00150875609659498,134,2.75,4.5,0.5,0.4,2020-03-07,0.35
0.836327051371409,6.92307692307804,0.00487125384090568,49,2.75,6,0.5,0.3,2020-03-07,0.35
0.91494284144583,7,0.00911611279352782,3699,2.75,6,0.7,0.4,2020-03-09,0.5
0.858851808301073,7,0.00409786661289971,3558,2.5,4.5,0.6,0.3,2020-03-09,0.5
0.422922545211886,7,0.0021080987723224,3505,3,4,0.4,0.3,2020-03-09,0.5
0.890825688820145,7.44444444444525,0.0190113258019672,4237,2.25,5,0.5,0.5,2020-03-07,0.55
0.829925503085744,7.54545454545587,0.0179025680072122,2942,2.25,5.5,0.5,0.7,2020-03-09,0.45
0.857118155577915,7.92307692307804,0.00154987845876532,927,2.25,4,0.5,0.7,2020-03-09,0.35
0.875996849919841,8,0.00178980376185211,3620,3,5.5,0.4,0.4,2020-03-09,0.5
0.851231441432214,8,0.021337790012309,3582,2.25,4.5,0.7,0.3,2020-03-09,0.5
0.558759635225809,8,0.00175013423561104,3185,3,4.5,0.7,0.4,2020-03-07,0.5
0.815647303657844,8.07692307692196,0.00120650911830289,319,2.75,5.5,0.4,0.6,2020-03-07,0.35
0.817639537255258,8.45454545454413,0.00330726719098148,2078,2.5,4,0.7,0.3,2020-03-07,0.45
0.830491319727067,8.54545454545587,0.00274416652992161,2578,2.5,4,0.7,0.3,2020-03-09,0.45
0.861238682960274,8.55555555555475,0.00347375078703334,4144,2.75,5.5,0.5,0.4,2020-03-07,0.55
0.878199682786849,8.66666666667152,0.00100353489447739,1820,3,5.5,0.4,0.6,2020-03-09,0.4
0.832423053518807,9,0.00228553726977178,3540,3,5,0.5,0.3,2020-03-09,0.5
0.755015448611786,9.33333333332848,0.00434205416122453,1812,2.25,5,0.4,0.6,2020-03-09,0.4
0.849794471254899,9.45454545454413,0.00165178927558315,2140,3,5,0.5,0.4,2020-03-07,0.45
0.425640250662797,9.45454545454413,0.00143419322993973,2605,3,4,0.4,0.4,2020-03-09,0.45
0.865006479247072,9.54545454545587,0.00475445898050897,2432,2.25,4.5,0.5,0.7,2020-03-07,0.45
0.728902708392247,9.54545454545587,0.00199013361867096,2278,2.5,4,0.7,0.5,2020-03-07,0.45
0.859254070107219,9.92307692307804,0.00157912893290232,858,2.5,4.5,0.6,0.6,2020-03-09,0.35
0.955249883008526,10,0.00124903698704523,3320,3,5.5,0.4,0.6,2020-03-07,0.5
0.923761835619068,10,0.00459360758607523,3169,2.75,5.5,0.6,0.4,2020-03-07,0.5
0.808656171997671,10,0.00102122744203276,3965,3,5,0.6,0.7,2020-03-09,0.5
0.917808250477125,10.3333333333285,0.00327358476243553,1033,2.5,4.5,0.5,0.3,2020-03-07,0.4
0.875559861109326,10.3333333333285,0.0382613200949977,1376,2,4,0.7,0.6,2020-03-07,0.4
0.862641469634154,10.4444444444453,0.00284508704030639,4633,2.5,4.5,0.5,0.4,2020-03-09,0.55
0.619690822577313,10.4444444444453,0.00154292762279629,4229,2.75,4,0.5,0.5,2020-03-07,0.55
0.866994268671148,10.4545454545441,0.00261774932609549,2539,2.75,5,0.5,0.3,2020-03-09,0.45
0.850386500806208,10.4545454545441,0.00468587825960338,2888,2.5,5,0.7,0.6,2020-03-09,0.45
0.424168523822145,10.4545454545441,0.00193212928667441,2555,3,4,0.6,0.3,2020-03-09,0.45
0.91126117921859,10.5454545454559,0.00321420660716723,2227,2.25,4,0.5,0.5,2020-03-07,0.45
0.90411384671358,10.5555555555547,0.00815810500997247,4277,2.25,4,0.7,0.5,2020-03-07,0.55
0.861924788876672,10.5555555555547,0.00708969881872644,4968,2.5,5.5,0.6,0.7,2020-03-09,0.55
0.830297835644327,10.5555555555547,0.0157945465377464,4906,2,4.5,0.4,0.7,2020-03-09,0.55
0.634800006470833,10.5555555555547,0.00127704762849547,4879,2.75,4,0.7,0.6,2020-03-09,0.55
0.866696704714435,10.923076923078,0.00128168584049909,770,3,5.5,0.6,0.5,2020-03-09,0.35
0.631966751559747,10.923076923078,0.00104335904967762,204,2.75,4,0.4,0.5,2020-03-07,0.35
0.635279492172198,11,0.0011559659352704,3329,2.75,4,0.5,0.6,2020-03-07,0.5
0.858352262211902,11.076923076922,0.00125983596009746,225,3,6,0.4,0.5,2020-03-07,0.35
0.935233487029891,11.3333333333285,0.00137825150618324,1245,3,5.5,0.5,0.5,2020-03-07,0.4
0.824234581722894,11.3333333333285,0.00223201840067117,1952,2.25,4,0.6,0.7,2020-03-09,0.4
0.905060265696624,11.4444444444453,0.0308700308376576,4442,2.25,5.5,0.5,0.7,2020-03-07,0.55
0.845445461567132,11.4545454545441,0.0010166923812615,2815,3,5,0.4,0.6,2020-03-09,0.45
0.93576113959083,11.5555555555547,0.0147179547109377,4257,2.25,4.5,0.6,0.5,2020-03-07,0.55
0.887617166744002,11.5555555555547,0.00290392102593072,4525,3,6,0.4,0.3,2020-03-09,0.55
0.852529322288158,11.5555555555547,0.00228371907273103,4858,2.5,4.5,0.6,0.6,2020-03-09,0.55
0.899214101611727,11.923076923078,0.00402285710928594,252,2.25,4,0.6,0.5,2020-03-07,0.35
0.877821975166767,11.923076923078,0.00244831563596969,70,3,5.5,0.6,0.3,2020-03-07,0.35
0.428258022906148,11.923076923078,0.00122149116516568,630,3,4,0.5,0.4,2020-03-09,0.35
0.860138500307164,12,0.0175925999053491,3693,2.5,5.5,0.7,0.4,2020-03-09,0.5
0.858479685985938,12.4444444444453,0.00196068594659739,4609,2.75,4.5,0.4,0.4,2020-03-09,0.55
0.842231244113886,12.5555555555547,0.00173440710934585,4725,3,6,0.4,0.5,2020-03-09,0.55
0.928338345304163,13,0.00327371572662741,3175,3,6,0.6,0.4,2020-03-07,0.5
0.799090717492354,13.076923076922,0.00149745578629843,165,3,5,0.6,0.4,2020-03-07,0.35
0.820060652799649,13.4444444444453,0.00229079471840235,4302,2.25,4,0.4,0.6,2020-03-07,0.55
0.803409997014206,13.4444444444453,0.00164547873767659,4790,3,5,0.7,0.5,2020-03-09,0.55
0.890764343754613,13.4545454545441,0.00172921903045926,2208,2.5,4.5,0.4,0.5,2020-03-07,0.45
0.925264005525596,13.5454545454559,0.0112070791150035,2077,2.25,4,0.7,0.3,2020-03-07,0.45
0.873393602506825,13.5555555555547,0.00409249225608867,4502,2.25,4,0.4,0.3,2020-03-09,0.55
0.864949020860018,13.5555555555547,0.00520562977060171,4569,2.75,5.5,0.6,0.3,2020-03-09,0.55
0.828980023472428,13.5555555555547,0.00553209415580463,4538,2.5,5,0.5,0.3,2020-03-09,0.55
0.822562893456608,13.6666666666715,0.0270096015848799,1322,2.25,6,0.4,0.6,2020-03-07,0.4
0.85108294369857,13.923076923078,0.016489818566315,582,2.25,4.5,0.7,0.3,2020-03-09,0.35
0.863305790324002,14,0.00216054089392454,3775,3,6,0.6,0.5,2020-03-09,0.5
0.822606410262702,14,0.00369805672252331,3943,2.5,5.5,0.5,0.7,2020-03-09,0.5
0.863505307292358,14.076923076922,0.00555860696539031,857,2.25,4.5,0.6,0.6,2020-03-09,0.35
0.845145779687268,14.076923076922,0.0111099357263581,557,2.25,4.5,0.6,0.3,2020-03-09,0.35
0.791572691791053,14.3333333333285,0.0224160294732999,1206,2,4.5,0.4,0.5,2020-03-07,0.4
0.921600331680539,14.4444444444453,0.036405645008866,4787,2.25,5,0.7,0.5,2020-03-09,0.55
0.569231021774369,14.4444444444453,0.0026033560727559,4085,3,4.5,0.7,0.3,2020-03-07,0.55
0.8649317972677,14.5555555555547,0.00170893011982075,4975,3,6,0.6,0.7,2020-03-09,0.55
0.919408193327375,14.923076923078,0.00178247849922278,264,2.75,5,0.6,0.5,2020-03-07,0.35
0.896434220823197,15,0.00295592250707688,3783,2.5,4.5,0.7,0.5,2020-03-09,0.5
0.86433506847031,15,0.00176062729811736,3609,2.75,4.5,0.4,0.4,2020-03-09,0.5
0.855203485165985,15,0.00870777187518232,3143,2.5,5.5,0.5,0.4,2020-03-07,0.5
0.844471021624861,15,0.00112263473404058,3925,3,6,0.4,0.7,2020-03-09,0.5
0.863772528781417,15.076923076922,0.00188894565095978,758,2.5,4.5,0.6,0.5,2020-03-09,0.35
0.825209120466017,15.076923076922,0.00230161261860408,578,2.5,4,0.7,0.3,2020-03-09,0.35
0.426156886542112,15.076923076922,0.00162384806873363,505,3,4,0.4,0.3,2020-03-09,0.35
0.951374442951348,15.3333333333285,0.0288567833993038,1082,2.25,4.5,0.7,0.3,2020-03-07,0.4
0.863344532236943,15.3333333333285,0.00178631900646107,1775,3,6,0.6,0.5,2020-03-09,0.4
0.835412931827199,15.3333333333285,0.00390525051591049,1569,2.75,5.5,0.6,0.3,2020-03-09,0.4
0.745066839815347,15.3333333333285,0.00332200897907385,1024,2.75,6,0.4,0.3,2020-03-07,0.4
0.555693789327966,15.3333333333285,0.00180041423011793,1535,3,4.5,0.5,0.3,2020-03-09,0.4
0.760644277639745,15.4444444444453,0.00493111187655227,4912,2.25,5,0.4,0.7,2020-03-09,0.55
0.553532057996299,15.4545454545441,0.00148335977604302,2635,3,4.5,0.5,0.4,2020-03-09,0.45
0.835256345619816,15.5555555555547,0.002320198569015,4344,2.75,5.5,0.5,0.6,2020-03-07,0.55
0.785058962230746,15.6666666666715,0.00427355067446648,1743,2.5,5.5,0.5,0.5,2020-03-09,0.4
0.926869350968389,15.923076923078,0.00786613938776433,63,2.5,5,0.6,0.3,2020-03-07,0.35
0.732875768437461,15.923076923078,0.00117807746023774,924,2.75,6,0.4,0.7,2020-03-09,0.35
0.923761523959005,16,0.00687466306710371,3194,2.75,5.5,0.7,0.4,2020-03-07,0.5
0.860646017781736,16,0.00146975565336011,3808,2.5,4.5,0.4,0.6,2020-03-09,0.5
0.834425667231652,16.076923076922,0.00173393667201552,678,2.5,4,0.7,0.4,2020-03-09,0.35
0.732432687509378,16.4545454545441,0.00153140079598676,2629,2.75,4,0.5,0.4,2020-03-09,0.45
0.341914415776023,16.4545454545441,0.00116553897042418,2780,3,4,0.7,0.5,2020-03-09,0.45
0.862118274125621,16.5454545454559,0.0213937136650268,2593,2.5,5.5,0.7,0.3,2020-03-09,0.45
0.886455461243438,16.5555555555547,0.00151349780586005,4408,2.5,4.5,0.4,0.7,2020-03-07,0.55
0.816350774971906,16.5555555555547,0.00146673081232751,4484,2.75,4.5,0.7,0.7,2020-03-07,0.55
0.922002171939157,16.923076923078,0.00470041647862941,69,2.75,5.5,0.6,0.3,2020-03-07,0.35
0.835169274668401,17,0.00302570870718251,3578,2.5,4,0.7,0.3,2020-03-09,0.5
0.786604371286209,17,0.010007515585753,3112,2.25,5,0.4,0.4,2020-03-07,0.5
0.930363231131466,17.4545454545441,0.0100790796036956,2368,2.5,5.5,0.6,0.6,2020-03-07,0.45
0.857179514858759,17.5555555555547,0.00223494981064691,4969,2.75,5.5,0.6,0.7,2020-03-09,0.55
0.926233159529453,17.6666666666715,0.00366335701275425,1352,2.25,4,0.6,0.6,2020-03-07,0.4
0.321454983173891,17.6666666666715,0.00176925949771357,1005,3,4,0.4,0.3,2020-03-07,0.4
0.861458005231374,17.923076923078,0.00164897115642463,775,3,6,0.6,0.5,2020-03-09,0.35
0.927042651147471,18,0.00290926163188436,3164,2.75,5,0.6,0.4,2020-03-07,0.5
0.90127150527721,18,0.00122587362327748,3939,2.75,5,0.5,0.7,2020-03-09,0.5
0.870523830931581,18,0.0490507947175263,3631,2,4.5,0.5,0.4,2020-03-09,0.5
0.518407546073263,18,0.00103734663232417,3479,2.75,4,0.7,0.7,2020-03-07,0.5
0.850003073234995,18.076923076922,0.00686376207348635,768,2.5,5.5,0.6,0.5,2020-03-09,0.35
0.725559768071207,18.3333333333285,0.00124019228665474,1790,3,5,0.7,0.5,2020-03-09,0.4
0.913545440529088,18.4545454545441,0.00320501706730074,2669,2.75,5.5,0.6,0.4,2020-03-09,0.45
0.817798739459211,18.4545454545441,0.00257101702116587,2727,2.25,4,0.5,0.5,2020-03-09,0.45
0.924627659083975,18.5555555555547,0.00354163005212534,4039,2.75,5,0.5,0.3,2020-03-07,0.55
0.90436063823172,18.6666666666715,0.0022507309637645,1003,2.5,4,0.4,0.3,2020-03-07,0.4
0.895478226107918,18.6666666666715,0.0011928589989031,1450,3,6,0.5,0.7,2020-03-07,0.4
0.82484298464739,18.6666666666715,0.0070025936712149,1301,2,4,0.4,0.6,2020-03-07,0.4
0.867362768084795,19,0.0329337466077882,3787,2.25,5,0.7,0.5,2020-03-09,0.5
0.863695050854817,19,0.0026950170329164,3675,3,6,0.6,0.4,2020-03-09,0.5
0.832640469874878,19.3333333333285,0.00404068600259991,1777,2.25,4,0.7,0.5,2020-03-09,0.4
0.841232154484752,19.4545454545441,0.00144120223801981,2989,2.75,5,0.7,0.7,2020-03-09,0.45
0.897297883209668,19.5454545454559,0.00225909314061387,2150,3,6,0.5,0.4,2020-03-07,0.45
0.778607077133165,19.5454545454559,0.00165529534362333,2813,2.5,5,0.4,0.6,2020-03-09,0.45
0.736809597978959,19.5454545454559,0.00194303181105231,2724,2.75,6,0.4,0.5,2020-03-09,0.45
0.845839334104383,19.6666666666715,0.00193131878138672,1540,3,5,0.5,0.3,2020-03-09,0.4
0.878043026533855,19.923076923078,0.017012990815294,998,2.5,6,0.7,0.7,2020-03-09,0.35
0.858302513512243,19.923076923078,0.0187851670544604,976,2,4,0.7,0.7,2020-03-09,0.35
0.864655875693328,20,0.00431713244132008,3763,2.5,5,0.6,0.5,2020-03-09,0.5
0.635993388007086,20,0.0023239298243668,3029,2.75,4,0.5,0.3,2020-03-07,0.5
0.624630673711344,20,0.00170612772283403,3654,2.75,4,0.6,0.4,2020-03-09,0.5
0.85604938755861,20.076923076922,0.00288383012759986,794,2.75,5.5,0.7,0.5,2020-03-09,0.35
0.422439923199361,20.076923076922,0.00122639869496294,655,3,4,0.6,0.4,2020-03-09,0.35
0.891305294024202,20.4545454545441,0.00200173596746914,2128,2.5,4,0.5,0.4,2020-03-07,0.45
0.855931993774951,20.4545454545441,0.0096591942625081,2882,2.25,4.5,0.7,0.6,2020-03-09,0.45
0.832650488977838,20.5555555555547,0.00167167568875051,4878,2.5,4,0.7,0.6,2020-03-09,0.55
0.426768945781167,20.5555555555547,0.00233486247029743,4505,3,4,0.4,0.3,2020-03-09,0.55
0.921241234395805,20.6666666666715,0.00208467156493714,1020,3,5.5,0.4,0.3,2020-03-07,0.4
0.926765562894151,21,0.00437253601386076,3463,2.5,5,0.6,0.7,2020-03-07,0.5
0.863997785189016,21,0.00177110003676419,3875,3,6,0.6,0.6,2020-03-09,0.5
0.794911810709,21.3333333333285,0.00127638406671778,1384,2.75,4.5,0.7,0.6,2020-03-07,0.4
0.859580039310866,21.5555555555547,0.01205952259903,4657,2.25,4.5,0.6,0.4,2020-03-09,0.55
0.334793218506499,21.5555555555547,0.00142758746889775,4230,3,4,0.5,0.5,2020-03-07,0.55
0.838391328123689,21.923076923078,0.00117636085104647,759,2.75,4.5,0.6,0.5,2020-03-09,0.35
0.630459761743576,22,0.0011537081771374,3879,2.75,4,0.7,0.6,2020-03-09,0.5
0.888218477434174,22.076923076922,0.00710607718720097,177,2.25,4,0.7,0.4,2020-03-07,0.35
0.928804044225228,22.3333333333285,0.00793912477676829,1468,2.5,5.5,0.6,0.7,2020-03-07,0.4
0.823311771003107,22.4444444444453,0.0455676690228722,4811,2,5,0.4,0.6,2020-03-09,0.55
0.925815099163376,22.4545454545441,0.00734689405411478,2388,2.5,5,0.7,0.6,2020-03-07,0.45
0.883586570943264,22.4545454545441,0.0022342432092934,2009,2.75,4.5,0.4,0.3,2020-03-07,0.45
0.852490554972552,22.4545454545441,0.00703528689229424,2688,2.5,5,0.7,0.4,2020-03-09,0.45
0.908542589499941,22.5454545454559,0.00434230087431978,2474,2.75,6,0.6,0.7,2020-03-07,0.45
0.837395898082039,22.5454545454559,0.0299103293849634,2787,2.25,5,0.7,0.5,2020-03-09,0.45
0.417666485409078,22.5454545454559,0.00145500090436732,2680,3,4,0.7,0.4,2020-03-09,0.45
0.905200617235143,22.5555555555547,0.00225265458290326,4103,2.5,4,0.4,0.4,2020-03-07,0.55
0.844145865418178,22.5555555555547,0.0114833241158995,4588,2.5,5,0.7,0.3,2020-03-09,0.55
0.958467351326163,22.6666666666715,0.0227255807472972,1362,2.25,5,0.6,0.6,2020-03-07,0.4
0.906145793505926,22.923076923078,0.0252496177595224,831,2,4.5,0.5,0.6,2020-03-09,0.35
0.893021721899795,23,0.00228020887774951,3295,3,5.5,0.7,0.5,2020-03-07,0.5
0.831665375650392,23,0.00128851583748292,3978,2.5,4,0.7,0.7,2020-03-09,0.5
0.891847444192755,23.076923076922,0.00290443351436105,95,3,5.5,0.7,0.3,2020-03-07,0.35
0.732698261653638,23.076923076922,0.00415395319609895,723,2.5,6,0.4,0.5,2020-03-09,0.35
0.805011521169158,23.5454545454559,0.00311173165769403,2977,2.25,4,0.7,0.7,2020-03-09,0.45
0.854464689959435,23.5555555555547,0.00771725037785436,4243,2.5,5.5,0.5,0.5,2020-03-07,0.55
0.858982053618832,23.923076923078,0.00226591343552512,508,2.5,4.5,0.4,0.3,2020-03-09,0.35
0.833088729884711,24,0.00231694873293071,3015,3,5,0.4,0.3,2020-03-07,0.5
0.600738600165191,24.3333333333285,0.00111756651901669,1235,3,4.5,0.5,0.5,2020-03-07,0.4
0.859185050381505,24.4545454545441,0.00219826518231108,2664,2.75,5,0.6,0.4,2020-03-09,0.45
0.844981482219194,24.4545454545441,0.00151940509519376,2615,3,5,0.4,0.4,2020-03-09,0.45
0.615357540565393,24.5454545454559,0.00119222673802997,2210,3,4.5,0.4,0.5,2020-03-07,0.45
0.84576911790099,24.6666666666715,0.00128376077524982,1895,3,5.5,0.7,0.6,2020-03-09,0.4
0.78633817029525,24.6666666666715,0.00555975093138088,1312,2.25,5,0.4,0.6,2020-03-07,0.4
0.949378730287143,25,0.00117687196482587,3414,2.75,5,0.4,0.7,2020-03-07,0.5
0.918582994632297,25,0.00160358690903217,3370,3,5.5,0.6,0.6,2020-03-07,0.5
0.90364806728359,25.076923076922,0.00156004149335988,103,2.5,4,0.4,0.4,2020-03-07,0.35
0.604308246621789,25.3333333333285,0.00148122058020812,1154,2.75,4,0.6,0.4,2020-03-07,0.4
0.879044439676272,25.4545454545441,0.00217634965351134,2520,3,5.5,0.4,0.3,2020-03-09,0.45
0.848968440981477,25.4545454545441,0.0029726657526561,2053,2.5,4,0.6,0.3,2020-03-07,0.45
0.868081215832065,25.5555555555547,0.00301015374470588,4449,2.75,6,0.5,0.7,2020-03-07,0.55
0.924225699286687,25.6666666666715,0.00218830434409344,1275,3,6,0.6,0.5,2020-03-07,0.4
0.926564094156415,25.923076923078,0.0012799338853929,350,3,6,0.5,0.6,2020-03-07,0.35
0.81635412151127,25.923076923078,0.00142868265202296,889,2.75,5,0.7,0.6,2020-03-09,0.35
0.928343617831771,26.4545454545441,0.00474936443201026,2252,2.25,4,0.6,0.5,2020-03-07,0.45
0.866709229904877,26.5454545454559,0.00176269193327716,2253,2.5,4,0.6,0.5,2020-03-07,0.45
