GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AG3001,AH0001,AH0002,AH0003,AH0004,AH0005,AH0006,AH0007,AH0008,AH0009,AH0010,AH0011,AH0012,AH0013,AH0014,AH0015,AH0016,AH0017,AH0018,AH0019,AH0020,AH0021,AH0022,AH0023,AH0024,AH0025,AH0026,AH0027,AH0028,AH0029,AH0030,AH0031,AH0032,AH0033,AH0034,AH0035,AH0036,AH0037,AH0038,AH0039,AH0040,AH0041,AH0042,AH0043,AH0044,AH0045,AH0046,AH0047,AH0048,AH0049,AH0050,AH0051,AH0052,AH0053,AH0054,AH0055,AH0056,AH0057,AH0058,AH0059,AH0060,AH0061,AH0062,AH0063,AH0064,AH0065,AH0066,AH0067,AH0068,AH0069,AH0070,AH0071,AH0072,AH0073,AH0074,AH0075,AH0076,AH0077,AH0078,AH0079,AH0080,AH0081,AH0082,AH0083,AH0084,AH0085,AH0086,AH0087,AH0088,AH0089,AH0090,AH0091,AH0092,AH0093,AH0094,AH0095,AH0096,AH0097,AH0098,AH0099,AH0100,AH0101,AH0102,AH0103,AH0104,AH0105,AH0106,AH0107,AH0108,AH0109,AH0110,AH0111,AH0112,AH0113,AH0114,AH0115,AH0116,AH0117,AH0118,AH0119,AH0120,AH0121,AH0122,AH0123,AH0124,AH0125,AH0126,AH0127,AH0128,AH0129,AH0130,AH0131,AH0132,AH0133,AH0134,AH0135,AH0136,AH0137,AH0138,AH0139,AH0140,AH0141,AH0142,AH0143,AH0144,AH0145,AH0146,AH0147,AH0148,AH0149,AH0150,AH0151,AH0152,AH0153,AH0154,AH0155,AH0156,AH0157,AH0158,AH0159,AH0160,AH0161,AH0162,AH0163,AH0164,AH0165,AH0166,AH0167,AH0168,AH0169,AH0170,AH0171,AH0172,AH0173,AH0174,AH0175,AH0176,AH0177,AH0178,AH0179,AH0180,AH3001,AH3002,AH3003,AH3004,AH3005,AH3006,AH7001,AG9001,AG9002,AG9003,AG9004,AG9005,AG9006,AG9007,AG9008,AG9009,AG9010,AG9011,AG9012,AG9013,AG9014,AG9015,AG9016,AG9017,AG9018,AG9019,AG9020,AG9021,AHB001,AHB002
"G270","1860","Minnesota","270",,"Minnesota",172023,3189,3093,14016,13587,11433,11102,8412,7528,6468,6700,17580,15180,16685,11064,7708,5090,3891,2683,1779,1280,450,316,78,61,12,5,0,1,3,1,8,6,16,17,12,16,12,16,13,17,22,25,31,15,6,9,4,4,1,5,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,102,87,203,160,185,140,154,160,225,258,201,164,97,81,37,29,22,16,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169395,259,0,2369,,,172023,,,,,,,,,,,,,,,,,,,,,,,172023
"G280","1860","Mississippi","280",,"Mississippi",791305,5255,4971,23547,22401,27143,25676,24870,23725,19620,20245,32911,28818,21380,17356,14375,11164,8820,6352,4032,3193,1270,1139,283,296,29,42,8,10,2730,2238,9,6,46,44,48,50,55,44,28,51,64,64,36,45,33,37,24,26,16,19,6,4,3,6,3,3,1,2,0,0,5560,6114,28422,29198,29069,29429,28540,27160,23886,25402,41170,40259,24536,24190,15015,14278,6889,6319,4526,3914,1149,1134,344,357,107,93,84,82,10004,9401,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353899,773,436631,2,,,354674,4856,3201,2503,2129,1809,1585,1303,1149,1024,3432,2057,2322,1143,755,814,545,279,28,8,1,0,436631,354674
"G290","1860","Missouri","290",,"Missouri",1182012,18687,17994,74700,71712,76655,73856,67744,63411,57183,57224,108970,93328,75302,58081,45196,34234,23870,18492,10754,8682,3090,2581,610,533,83,65,14,13,273,152,35,33,162,171,189,173,155,185,137,171,277,301,228,293,225,209,133,168,107,100,32,43,6,17,4,6,5,5,2,0,1752,1805,8523,8584,9547,9314,8613,8539,7053,6835,10187,9497,5621,6019,3240,3649,1659,1881,785,942,253,327,85,104,29,45,10,28,3,2,0,0,1,1,3,0,4,3,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063489,3572,114931,20,,,1067081,6893,3754,2773,2243,1686,1384,1130,877,640,1734,666,349,120,33,26,8,4,0,0,0,0,114931,1067081
"G315","1860","Nebraska Territory","315",,"Nebraska Territory",28841,506,496,1861,1870,1813,1655,1422,1291,1208,1220,4794,2638,2913,1533,1288,728,610,404,215,135,52,31,5,5,1,1,0,0,1,0,1,1,6,1,2,5,7,5,4,2,9,11,4,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,3,4,2,5,10,9,8,1,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28696,67,15,63,,,28826,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28826
"G325","1860","Nevada Territory","325",,"Nevada Territory",6857,30,38,120,114,87,91,58,53,140,64,3111,197,1877,107,530,28,122,17,26,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,2,12,3,10,1,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6812,45,0,0,,,6857,,,,,,,,,,,,,,,,,,,,,,,6857
"G330","1860","New Hampshire","330",,"New Hampshire",326073,3445,3230,14502,13777,16405,16112,16501,15595,16756,17651,27137,30287,20414,21172,16497,17069,13103,13834,8785,9950,4625,5335,1265,1765,126,237,2,2,0,0,7,8,21,24,25,22,31,26,20,23,47,38,32,31,27,20,15,17,12,16,10,11,4,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325579,494,0,,,,326073,,,,,,,,,,,,,,,,,,,,,,,326073
"G340","1860","New Jersey","340",,"New Jersey",672035,9776,9570,37928,37112,39614,38652,35339,34421,32595,34474,56648,61553,45454,44250,31265,28491,18657,18067,10233,11182,4142,4769,965,1261,76,141,2,7,39,16,322,329,1272,1297,1478,1554,1600,1582,1355,1392,2018,2306,1501,1628,1276,1273,786,777,436,482,189,242,63,99,13,34,2,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,2,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646699,25318,18,0,,,672017,,,,,,,,,,,,,,,,,,,,,,,672017
"G355","1860","New Mexico Territory","355",,"New Mexico Territory",93516,1241,1255,5039,5150,6174,5997,4941,4601,3574,4037,9275,8180,6315,4647,3497,2654,1816,1459,1163,757,374,308,182,129,61,59,16,8,11,4,1,1,8,3,9,4,1,5,4,6,5,11,7,4,5,4,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,97,772,688,648,644,601,551,458,501,1078,1253,689,579,495,394,227,179,132,143,67,39,43,25,11,8,15,4,0,0,1,2,0,5,5,10,5,12,4,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82924,85,0,10452,55,,93516,,,,,,,,,,,,,,,,,,,,,,,93516
"G360","1860","New York","360",,"New York",3880735,51674,50693,213988,208412,229842,224769,200784,195255,186647,202829,336905,380996,279870,274183,193037,175176,116304,108651,66611,64881,26936,27171,6896,7272,704,942,42,50,39,31,501,562,2119,2176,2572,2636,2662,2624,2235,2764,4120,5136,3511,3913,2669,2784,1517,1676,842,917,310,414,83,156,25,48,8,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,12,8,7,5,11,11,12,9,9,8,7,7,8,7,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3831590,49005,0,140,,,3880735,,,,,,,,,,,,,,,,,,,,,,,3880735
"G370","1860","North Carolina","370",,"North Carolina",992622,9497,8874,39520,38109,45171,42697,42063,39565,33976,34908,53078,56872,35276,36498,24532,25771,16003,16469,9194,10285,3785,4362,1107,1385,157,206,17,41,294,230,452,440,2001,1946,2275,2231,2252,2112,1717,1694,2331,2762,1521,1752,971,1243,681,689,396,388,175,180,67,102,23,26,11,17,7,1,4561,4768,23641,24181,26168,26308,25501,23759,18435,18317,27584,26494,16412,16737,10087,10005,7426,7225,4220,4106,1656,1668,546,620,143,225,56,122,33,55,25,15,85,78,88,83,55,59,81,72,58,78,66,71,38,35,25,12,19,23,21,12,11,7,8,4,3,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629942,30463,331059,1158,,,661563,6440,4017,3068,2546,2245,1887,1619,1470,1228,4044,2029,1977,870,474,423,188,118,11,4,0,0,331059,661563
"G390","1860","Ohio","390",,"Ohio",2339511,35585,34596,146611,142284,156942,155006,141687,135933,127972,132831,200493,201172,144587,133739,100224,89455,62582,56384,36308,32763,14335,13004,3533,3119,366,394,38,30,435,400,495,494,2236,2120,2542,2578,2462,2371,1997,2249,3208,3300,2209,2091,1500,1464,960,812,527,455,204,191,61,76,23,19,17,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,3,1,3,1,3,1,3,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302808,36673,0,30,,,2339511,,,,,,,,,,,,,,,,,,,,,,,2339511
"G410","1860","Oregon","410",,"Oregon",52465,1049,953,4009,3799,3704,3578,2728,2501,2225,2154,7237,3329,6015,2226,2595,1209,1248,651,504,248,119,50,15,8,2,1,0,0,1,2,1,4,7,5,9,9,4,7,2,6,18,10,14,5,10,2,9,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,14,21,9,10,9,7,9,17,12,28,4,15,2,7,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52160,128,0,177,,,52465,,,,,,,,,,,,,,,,,,,,,,,52465
"G420","1860","Pennsylvania","420",,"Pennsylvania",2906215,43483,41988,176503,173121,190934,187641,167990,163624,146717,156844,241647,257838,184104,176662,129481,118828,79560,75470,45235,44721,17672,19048,4182,4905,391,568,27,52,17,6,684,716,2750,2994,3324,3453,3271,3401,2813,3513,4696,6093,3410,4078,2558,2898,1596,1710,858,947,351,422,126,170,27,53,8,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2849259,56949,0,7,,,2906215,,,,,,,,,,,,,,,,,,,,,,,2906215
"G440","1860","Rhode Island","440",,"Rhode Island",174620,2116,2194,8017,7898,8815,8923,8590,8356,8339,9121,15404,17653,12008,12658,8702,8924,5379,6065,3106,3947,1438,1936,343,590,34,88,3,2,0,0,47,33,167,161,192,210,206,193,196,208,322,394,277,316,210,267,126,168,53,90,25,55,7,19,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,1,1,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170649,3952,0,19,,,174620,,,,,,,,,,,,,,,,,,,,,,,174620
"G450","1860","South Carolina","450",,"South Carolina",703708,4273,4038,17808,17048,20342,19642,19589,18646,15994,16800,25446,25960,16891,16783,11549,11485,7625,7528,4358,4497,1633,1883,428,577,63,101,10,15,151,137,141,143,622,594,712,778,695,722,451,551,661,878,465,593,340,453,232,348,140,181,50,71,25,30,11,16,2,8,1,0,5390,5916,26907,27953,28482,29515,28286,27647,21752,23205,32225,33952,21367,23753,14997,16339,8942,9121,5335,5312,2035,2108,568,645,178,255,72,73,35,41,1,0,3,4,7,3,6,8,5,5,5,9,6,9,2,5,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291300,9914,402406,88,,,301302,3763,2533,1990,1731,1541,1366,1207,1095,973,3334,1876,1984,1083,579,710,487,363,56,22,7,1,402406,301302
"G470","1860","Tennessee","470",,"Tennessee",1109801,13524,12709,55419,52515,61014,58785,56625,53927,46727,47999,76107,72510,47703,43747,29707,28407,19608,17674,10362,9841,4171,4106,1271,1236,171,215,26,38,344,234,105,95,472,429,534,513,495,495,402,452,551,621,308,419,228,279,198,191,133,133,66,73,34,44,9,12,2,6,1,0,4305,4499,19448,20197,21443,21966,20606,20077,15328,16099,23837,23778,13988,14798,8135,8487,5501,5333,2579,2715,838,922,248,318,71,94,38,59,5,7,0,0,3,3,2,5,4,5,6,2,6,4,4,5,1,1,4,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826722,7300,275719,60,,,834082,7820,4738,3609,3012,2536,2066,1783,1565,1260,3779,1744,1623,643,284,219,116,40,6,1,0,0,275719,834082
"G480","1860","Texas","480",,"Texas",604215,7383,6976,30591,29263,32078,30589,27257,25656,21651,21372,43660,32976,29715,20571,17822,11839,9593,6414,4079,2730,1000,748,171,141,24,21,6,6,3555,3004,7,2,29,24,27,26,23,19,17,18,22,33,29,21,9,13,9,6,6,7,2,2,0,2,0,0,1,1,0,0,2778,2853,13090,13336,13690,13727,12683,12099,10796,11576,17778,17285,9901,10008,5512,5758,2717,2528,1272,1156,330,366,116,95,30,46,22,30,474,514,5,6,33,27,25,19,16,18,13,24,42,37,35,26,27,21,10,6,5,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420891,355,182566,403,,,421649,4593,2874,2093,1782,1439,1125,928,790,668,2237,1186,1095,491,241,194,88,52,2,0,0,0,182566,421649
"G495","1860","Utah Territory","495",,"Utah Territory",40273,999,1016,3843,3678,3041,2961,2297,2086,1583,1730,2977,3169,2322,2363,1583,1430,956,931,429,427,125,130,19,22,1,0,0,0,3,4,0,1,3,2,1,5,2,1,0,0,1,3,4,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,2,2,1,2,3,2,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,6,16,13,11,11,3,7,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40125,30,29,89,,,40244,8,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,40244
"G500","1860","Vermont","500",,"Vermont",315098,3330,3462,15422,15054,17822,17379,17238,16537,17132,16526,25797,26180,19192,19224,15996,15436,12303,12246,8747,8187,3980,4160,1296,1383,146,180,5,8,0,1,12,5,36,30,39,51,48,34,42,28,58,57,41,38,41,35,30,30,16,15,5,9,1,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,4,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314369,709,0,20,,,315098,,,,,,,,,,,,,,,,,,,,,,,315098
"G510","1860","Virginia","510",,"Virginia",1596318,15988,15471,67814,65065,74476,71392,67947,64923,56601,57767,88405,90950,61164,59356,43635,41464,27646,26716,16382,15911,6485,6783,1696,2024,245,296,25,44,333,295,830,839,3615,3574,4070,4095,3999,3696,3008,3213,4333,5374,3081,3753,2053,2540,1317,1576,862,962,394,445,108,154,35,63,9,30,7,7,6771,7079,32029,32586,35873,35387,36056,33820,27340,27362,41625,37823,26858,26090,18744,17862,12089,11188,8007,7563,2986,3081,815,1068,221,319,66,138,3,16,2,1,7,5,5,10,7,8,8,6,2,11,9,6,6,4,3,3,3,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047299,58042,490865,112,,,1105453,11085,5989,4474,3807,3233,2824,2393,1984,1788,5686,3088,3017,1291,609,503,243,105,8,1,0,0,490865,1105453
"G535","1860","Washington Territory","535",,"Washington Territory",11594,179,134,568,552,458,435,333,319,293,284,3195,571,2212,351,672,170,223,72,73,20,17,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,1,8,2,7,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,35,31,40,28,29,19,12,28,35,56,19,33,11,21,3,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11138,30,0,426,,,11594,,,,,,,,,,,,,,,,,,,,,,,11594
"G550","1860","Wisconsin","550",,"Wisconsin",775881,12905,12753,56809,55056,56111,54248,44673,42570,36897,36654,62906,59482,59091,49305,39804,29324,22245,16297,10715,8378,3340,2660,612,501,74,53,5,8,122,95,15,12,75,88,91,68,64,71,55,44,118,92,111,71,66,45,32,11,20,9,3,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,23,27,39,37,37,34,37,46,51,51,38,43,31,35,12,26,6,15,6,6,4,1,0,0,0,0,0,0,2,7,36,39,37,40,40,38,23,23,23,22,12,19,14,10,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773693,1171,0,613,404,,775881,,,,,,,,,,,,,,,,,,,,,,,775881
