GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AG3001,AH0001,AH0002,AH0003,AH0004,AH0005,AH0006,AH0007,AH0008,AH0009,AH0010,AH0011,AH0012,AH0013,AH0014,AH0015,AH0016,AH0017,AH0018,AH0019,AH0020,AH0021,AH0022,AH0023,AH0024,AH0025,AH0026,AH0027,AH0028,AH0029,AH0030,AH0031,AH0032,AH0033,AH0034,AH0035,AH0036,AH0037,AH0038,AH0039,AH0040,AH0041,AH0042,AH0043,AH0044,AH0045,AH0046,AH0047,AH0048,AH0049,AH0050,AH0051,AH0052,AH0053,AH0054,AH0055,AH0056,AH0057,AH0058,AH0059,AH0060,AH0061,AH0062,AH0063,AH0064,AH0065,AH0066,AH0067,AH0068,AH0069,AH0070,AH0071,AH0072,AH0073,AH0074,AH0075,AH0076,AH0077,AH0078,AH0079,AH0080,AH0081,AH0082,AH0083,AH0084,AH0085,AH0086,AH0087,AH0088,AH0089,AH0090,AH0091,AH0092,AH0093,AH0094,AH0095,AH0096,AH0097,AH0098,AH0099,AH0100,AH0101,AH0102,AH0103,AH0104,AH0105,AH0106,AH0107,AH0108,AH0109,AH0110,AH0111,AH0112,AH0113,AH0114,AH0115,AH0116,AH0117,AH0118,AH0119,AH0120,AH0121,AH0122,AH0123,AH0124,AH0125,AH0126,AH0127,AH0128,AH0129,AH0130,AH0131,AH0132,AH0133,AH0134,AH0135,AH0136,AH0137,AH0138,AH0139,AH0140,AH0141,AH0142,AH0143,AH0144,AH0145,AH0146,AH0147,AH0148,AH0149,AH0150,AH0151,AH0152,AH0153,AH0154,AH0155,AH0156,AH0157,AH0158,AH0159,AH0160,AH0161,AH0162,AH0163,AH0164,AH0165,AH0166,AH0167,AH0168,AH0169,AH0170,AH0171,AH0172,AH0173,AH0174,AH0175,AH0176,AH0177,AH0178,AH0179,AH0180,AH3001,AH3002,AH3003,AH3004,AH3005,AH3006,AH7001,AG9001,AG9002,AG9003,AG9004,AG9005,AG9006,AG9007,AG9008,AG9009,AG9010,AG9011,AG9012,AG9013,AG9014,AG9015,AG9016,AG9017,AG9018,AG9019,AG9020,AG9021,AHB001,AHB002
"G170","1860","Illinois","170",,"Illinois",1711951,29267,28432,118993,115324,116613,113469,102712,96907,91853,89858,173784,149505,123753,98716,73000,57875,42285,32961,19416,15961,5788,5020,1138,1043,129,105,12,20,198,154,127,136,451,458,449,520,462,478,367,409,752,749,520,444,325,292,189,169,96,82,44,46,16,27,7,4,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,6,2,4,2,2,0,2,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1704291,7628,0,32,,,1711951,,,,,,,,,,,,,,,,,,,,,,,1711951
"G180","1860","Indiana","180",,"Indiana",1350428,22568,22095,91787,88729,98017,95366,86669,82182,77503,76582,121982,112881,82804,72107,52021,46286,35774,28260,16851,14400,5834,5037,1273,1162,118,124,22,21,125,130,170,180,657,681,827,779,761,767,661,734,1092,1030,613,571,398,412,343,246,170,139,64,57,24,27,8,8,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,24,27,18,13,8,26,14,15,23,36,11,16,10,14,7,4,2,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338710,11428,0,290,,,1350428,,,,,,,,,,,,,,,,,,,,,,,1350428
"G190","1860","Iowa","190",,"Iowa",674913,12572,12259,50879,49028,49788,47549,41024,38794,34987,34902,60185,56011,48356,38283,29573,22613,16378,12535,7607,5795,2091,1722,356,307,42,40,2,4,60,37,13,14,60,68,75,58,62,66,66,55,126,102,72,56,40,36,37,21,8,17,6,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,7,8,8,5,3,4,3,6,0,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673779,1069,0,65,,,674913,,,,,,,,,,,,,,,,,,,,,,,674913
"G205","1860","Kansas Territory","205",,"Kansas Territory",107206,1803,1772,7343,7234,7512,7026,6129,5656,4982,5118,14180,10227,9241,5714,4518,2854,2117,1354,745,468,144,104,21,26,3,1,3,0,65,30,8,10,21,42,38,47,45,39,25,30,57,77,44,40,25,22,13,18,9,9,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,8,11,11,18,14,17,24,18,20,6,8,8,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106390,625,2,189,,,107204,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,107204
"G210","1860","Kentucky","210",,"Kentucky",1155684,15591,14931,62334,59137,67727,65444,59951,58107,50707,52014,83064,77680,57014,49896,37033,32024,22523,18950,11979,10881,4673,4595,1295,1299,167,201,18,35,117,97,124,142,586,607,702,666,614,629,474,521,665,846,510,644,453,489,414,431,337,315,152,185,48,73,13,16,9,9,0,10,3608,3673,15884,16041,17338,17618,16834,16063,13504,13590,19179,17711,11481,11866,7446,7643,4320,4317,2307,2484,766,953,239,334,54,107,19,45,30,29,1,0,3,4,2,2,2,3,3,0,4,5,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919484,10684,225483,33,,,930201,9306,5430,4009,3281,2694,2293,1951,1582,1273,3691,1580,1093,296,96,51,12,6,1,0,0,0,225483,930201
"G220","1860","Louisiana","220",,"Louisianna",708002,4783,4681,22668,22045,24101,23681,20302,19480,16295,18282,36183,32277,30145,22679,19422,12389,8042,5669,3254,2694,870,819,178,227,36,67,13,10,3356,2808,159,148,1010,979,1141,1142,1066,1094,905,1148,1335,1895,996,1402,813,1126,413,698,256,395,92,162,23,76,12,32,6,21,52,50,3865,4239,18419,18857,20518,20278,18034,17043,16158,17334,34142,31415,24399,21331,17844,14676,9394,7248,4362,3551,1353,1139,397,339,124,106,75,66,2893,2127,2,1,9,7,18,10,11,10,11,12,17,17,7,12,10,8,2,2,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357456,18647,331726,173,,,376276,4092,2573,2034,1536,1310,1103,858,771,609,2065,1157,1241,695,413,560,469,460,63,20,4,0,331726,376276
"G230","1860","Maine","230",,"Maine",628279,7542,7268,32190,31275,37354,35992,36495,34318,35222,35329,54038,55970,37428,36614,30550,28510,22895,21713,14132,14247,6660,6771,1822,2124,192,276,7,13,0,0,10,11,64,52,69,83,91,77,63,70,114,126,84,84,79,63,35,45,28,33,14,18,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626947,1327,0,5,,,628279,,,,,,,,,,,,,,,,,,,,,,,628279
"G240","1860","Maryland","240",,"Maryland",687049,7481,7277,30411,29965,33292,32927,30443,29846,26841,28856,43707,47244,34756,33359,24577,23158,14451,14214,7416,7969,2758,3246,641,905,61,98,3,13,1,2,1026,1140,4694,4570,5280,5205,5277,5205,4254,4889,6273,7864,4790,5799,3779,4189,2248,2719,1337,1583,553,645,173,250,45,98,17,39,0,1,1168,1223,5846,5819,6363,6163,6437,5898,5684,5359,8067,7372,4237,4485,2803,2939,1882,1709,1196,1197,426,457,147,159,41,66,16,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515918,83942,87189,0,,,599860,4119,1952,1279,1023,815,666,523,446,380,1173,545,487,179,81,75,24,15,0,1,0,0,87189,599860
"G250","1860","Massachusetts","250",,"Massachusetts",1231066,15758,15554,59699,59260,64016,63553,57036,56266,56636,63201,111657,131178,89540,92630,63281,61106,39108,41660,22539,26927,10125,13238,2631,4122,202,496,2,10,1,0,110,111,358,431,458,495,507,536,434,529,755,923,701,826,544,538,322,363,176,231,80,91,15,47,7,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,2,2,1,2,0,0,1,5,5,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221432,9602,0,32,,,1231066,,,,,,,,,,,,,,,,,,,,,,,1231066
"G260","1860","Michigan","260",,"Michigan",749113,10757,10382,45602,44576,47491,45914,43028,40937,40654,40262,72598,64753,53714,43657,36405,28332,22340,17188,10963,8534,3581,2866,740,619,72,64,6,4,55,48,104,117,407,418,452,480,391,380,315,369,698,641,559,413,350,229,192,102,71,47,24,23,1,11,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,77,417,432,446,393,377,342,319,327,526,557,338,357,272,255,143,133,115,97,53,42,22,27,7,10,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736142,6799,0,6172,,,749113,,,,,,,,,,,,,,,,,,,,,,,749113
