Red,,Baseline,
X,Y,X,Y
8/17/2016,21.81554513,12/17/2015,19.24266741
8/15/2016,21.53584843,12/27/2015,19.1491156
8/22/2016,22.03299686,1/6/2016,18.96230697
8/27/2016,22.2815342,1/16/2016,18.83766955
8/25/2016,21.84640948,1/26/2016,18.74411773
9/1/2016,22.77875638,2/5/2016,18.68165152
9/1/2016,22.56115715,2/15/2016,18.58809971
9/6/2016,23.27597856,2/25/2016,18.5567191
9/6/2016,23.05837933,3/6/2016,18.5564241
9/11/2016,23.55560151,3/16/2016,18.5561291
9/16/2016,25.26516228,3/26/2016,18.61800531
9/16/2016,25.01647744,4/5/2016,18.67988152
9/16/2016,24.7677926,4/15/2016,18.80392894
9/14/2016,24.51918151,4/25/2016,18.89689076
9/14/2016,24.27049667,5/5/2016,19.11419499
9/14/2016,23.77312699,5/15/2016,19.23824241
9/22/2016,26.25972956,5/25/2016,19.45554665
9/21/2016,25.94889809,5/30/2016,19.67299838
9/21/2016,25.73129886,6/9/2016,19.7659602
9/19/2016,25.51377337,6/19/2016,20.04543564
9/24/2016,26.63270765,6/16/2016,19.85899576
9/29/2016,27.12992983,6/29/2016,20.23165427
9/29/2016,26.88124499,7/9/2016,20.48004411
10/7/2016,27.7513961,7/19/2016,20.66626274
10/4/2016,27.50280959,7/16/2016,20.47982286
10/4/2016,27.31629596,7/29/2016,20.85248137
10/14/2016,27.87554185,8/8/2016,20.97652879
10/16/2016,27.56461205,8/17/2016,21.13166182
10/16/2016,27.31592721,8/27/2016,21.22462363
10/22/2016,27.00489908,9/6/2016,21.28649984
10/24/2016,26.63182265,9/16/2016,21.28620484
10/29/2016,26.81818878,9/26/2016,21.28590984
10/29/2016,26.38299031,10/6/2016,21.22344363
10/31/2016,26.07206051,10/16/2016,21.12989182
11/3/2016,25.76113071,10/26/2016,21.03634001
11/10/2016,25.54331023,11/5/2016,20.84953138
11/10/2016,25.29462539,11/15/2016,20.69380835
11/15/2016,25.01470744,11/25/2016,20.50699972
11/15/2016,24.79710821,12/5/2016,20.32019109
11/20/2016,24.51719026,12/15/2016,20.13338246
11/20/2016,24.29959103,12/25/2016,19.94657383
11/25/2016,24.01967308,1/4/2017,19.7597652
11/25/2016,23.80207385,1/14/2017,19.66621339
12/1/2016,23.52213132,1/24/2017,19.47940476
12/5/2016,23.14898114,2/3/2017,19.35476734
12/15/2016,22.27828921,2/13/2017,19.23012992
12/18/2016,22.02953062,2/23/2017,19.1365781
12/20/2016,21.78077203,3/5/2017,19.07411189
12/20/2016,21.56317279,3/15/2017,19.04273129
12/23/2016,22.34023917,3/25/2017,19.04243629
12/25/2016,21.28325485,4/4/2017,19.13539811
12/25/2016,21.06565561,4/2/2017,18.98004383
12/31/2016,20.78571308,4/14/2017,19.1040175
1/4/2017,20.50581972,,
1/9/2017,20.28807299,,
1/14/2017,20.03924065,,
1/19/2017,19.88366512,,
1/29/2017,19.66577089,,
