GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B48001,B48002,B49001,B49002,B49003,B49004,B49005,B49006,B49007,B49008,B49009,B49010,B49011,B49012,B49013,B49014,B49015,B49016,B49017,B49018,B49019,B49020,B49021,B49022,B49023,B49024,B49025,B49026,B49027,B49028,B49029,B49030,B49031,B49032,B49033,B49034,B49035,B49036,B49037,B49038,B49039,B49040,B49041,B49042,B49043,B49044,B49045,B49046,B49047,B49048,B49049,B49050,B49051,B49052,B49053,B49054,B49055,B49056,B49057,B49058,B49059,B49060,B49061,B49062,B49063,B49064,B49065,B49066,B49067,B49068,B49069,B49070,B49071,B49072
"G160","1960","Idaho","160",,"Idaho",657383,9808,41199,39701,35372,27373,19089,18055,19633,20351,20523,19883,17451,14211,11550,10438,8426,5679,2907,1457,39454,37574,34195,27073,19340,18478,19629,21018,20519,18567,15764,12796,11017,10156,8266,5592,2922,1725,752,663,519,393,418,351,311,354,251,236,174,176,128,121,113,87,44,32,767,718,535,349,299,327,310,287,236,184,114,149,117,132,65,47,26,23
"G170","1960","Illinois","170",,"Illinois",9010252,1070906,492067,444242,394031,309611,240970,262802,296805,310359,298690,288865,258533,231527,193727,162491,122292,74157,35918,18600,473928,427408,379487,309219,268342,266344,299239,319970,312653,298070,265448,238882,208925,187357,144444,93686,50517,30646,81735,65356,47037,32245,31585,36868,39168,37751,31201,27693,23682,21949,15272,11260,7257,4230,1705,1185,82516,65796,47815,35488,40851,42878,44290,41084,33727,29004,24357,21398,15345,12337,7985,4906,2314,1636
"G180","1960","Indiana","180",,"Indiana",4388554,273944,256004,236999,210269,163100,128527,130360,143258,146726,135072,127413,112441,98888,83211,71285,55340,36942,19058,10616,245320,227293,203183,163559,138354,134550,147023,153317,139760,128162,113823,102431,90355,81228,66446,46906,25358,15977,20707,17311,12907,8972,7525,8628,9413,9249,7650,7201,5942,5503,4197,3413,2234,1392,615,370,20919,17790,12866,9726,9010,10099,10550,9931,8288,7513,6199,5427,4058,3461,2276,1428,669,505
"G190","1960","Iowa","190",,"Iowa",2728709,28828,154724,147301,130916,99904,72905,73185,81024,82766,80355,77396,71589,65294,59459,53911,42162,28099,15129,8814,148370,140962,125133,100907,80435,76630,82081,85603,83079,78590,72330,68451,63909,59575,48510,35217,20535,13459,2042,1785,1371,1010,940,944,928,898,726,669,581,610,484,444,317,200,94,71,2078,1771,1399,1119,1055,1045,1019,926,752,737,611,563,491,430,319,193,117,89
"G200","1960","Kansas","200",,"Kansas",2078666,99945,118103,110708,96571,75637,63093,61764,66374,69158,62014,58631,54188,48016,42266,37059,29704,20222,11380,6521,113408,106093,92528,74216,62101,62013,66392,68887,63109,59584,55581,50782,45788,41975,35298,25244,14850,9408,7311,5672,4467,3821,3986,3547,3213,2988,2540,2356,2047,2043,1710,1640,1209,765,387,266,7300,5686,4465,3696,3372,3461,3402,3035,2623,2422,2158,2185,1831,1635,1194,809,403,300
"G210","1960","Kentucky","210",,"Kentucky",2820083,218073,160231,153016,148189,123103,92133,79573,85156,88883,82072,78853,70314,62705,52110,46529,35743,23901,12586,6807,153614,147702,143450,114501,88167,83697,89649,92731,84682,80671,72247,65793,56555,51004,40347,28535,15381,9453,14417,12537,9967,8382,6390,5774,5958,6198,5761,5832,5327,5210,4306,4101,2919,1962,876,627,14234,12456,9944,7743,6453,6426,6861,7027,6388,6403,5839,5586,4617,4389,3271,2126,1017,749
"G220","1960","Louisiana","220",,"Louisianna",2211715,1045307,135001,124155,110237,83305,66854,69549,75774,75722,69397,65271,57630,48637,37014,28762,20327,12817,6394,3460,129506,118691,106407,86322,72864,72167,77954,78187,70256,65741,58981,50870,40639,34777,25729,17386,9327,5605,79629,72409,60655,45426,30406,25590,25051,25103,23237,23667,21377,19480,14599,14246,9474,6696,2830,2073,78587,72638,60077,46709,35203,30814,31491,30317,27496,26795,24168,21050,16326,16773,11137,7549,3421,2808
"G230","1960","Maine","230",,"Maine",963291,5974,54541,49589,47480,38031,29317,27644,28987,29908,28323,26876,25034,22173,19849,17157,13584,9159,5080,2950,53159,48731,45438,36591,28077,27762,30189,31130,29078,27450,26176,23679,21809,19555,15689,11533,6782,4781,521,306,218,284,642,459,260,154,118,89,69,73,45,50,43,22,13,6,492,292,211,183,274,300,238,156,93,58,60,57,48,46,50,24,12,8
"G240","1960","Maryland","240",,"Maryland",2573919,526770,148116,135196,122375,93147,77897,80064,92881,99469,92075,80954,67876,55353,43879,34688,24315,14428,6957,3774,142932,130552,118012,92027,76490,81087,94810,105123,92024,79329,66968,56905,49233,42152,31987,21585,11988,7271,37414,32662,27055,20177,16374,16414,17916,18122,16157,14545,11866,10473,7398,5674,3681,2181,1015,632,38058,33201,27000,20459,17919,18649,19343,19399,16225,14295,11357,9801,7097,5738,3998,2498,1138,839
"G250","1960","Massachusetts","250",,"Massachusetts",5023144,125434,270535,241805,221168,174452,138659,142564,159060,167222,161291,150047,135119,120989,105971,91779,68288,42220,21012,11766,260179,231871,212354,179232,145738,144923,165203,178362,173830,163095,150077,137318,128645,116058,91722,61473,35816,23301,8864,7111,5415,4048,4894,5151,4995,4837,3748,3000,2291,2078,1946,1503,1135,748,314,210,8879,7118,5534,4206,4858,5121,5228,4765,3715,3018,2481,2160,1799,1572,1203,817,398,274
