GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ABB001,ABB002,ABB003,ABB004,ABB005,ABB006,ABD001,ABD002
"G010","1820","Alabama","010",,"Alabama",45839,39612,21780,20099,318,253,85451,42450
"G055","1820","Arkansas Territory","055",,"Arkansas Territory",6971,5608,820,797,44,15,12579,1676
"G090","1820","Connecticut","090",,"Connecticut",130707,136474,37,60,3837,4007,267181,7941
"G100","1820","Delaware","100",,"Delaware",27905,27377,2555,1954,6479,6479,55282,17467
"G110","1820","District Of Columbia","110",,"District of Columbia",11171,11443,3007,3370,1731,2317,22614,10425
"G130","1820","Georgia","130",,"Georgia",98404,91162,75916,73740,851,912,189566,151419
"G170","1820","Illinois","170",,"Illinois",29401,24387,548,369,237,220,53788,1374
"G180","1820","Indiana","180",,"Indiana",76649,69109,98,92,654,576,145758,1420
"G210","1820","Kentucky","210",,"Kentucky",223696,210948,63914,62818,1493,1266,434644,129491
"G220","1820","Louisiana","220",,"Louisianna",41332,32051,36566,32498,4509,5967,73383,79540
"G230","1820","Maine","230",,"Maine",149195,148145,0,0,437,492,297340,929
"G240","1820","Maryland","240",,"Maryland",131743,128479,56373,51025,18746,20984,260222,147128
"G250","1820","Massachusetts","250",,"Massachusetts",252154,264265,0,0,3308,3432,516419,6740
"G265","1820","Michigan Territory","265",,"Michigan Territory",5383,3208,0,0,105,69,8591,174
"G280","1820","Mississippi","280",,"Mississippi",23286,18890,16850,15964,239,219,42176,33272
"G295","1820","Missouri Territory","295",,"Missouri Territory",31001,24987,5341,4881,186,161,55988,10569
"G330","1820","New Hampshire","330",,"New Hampshire",119210,124026,0,0,372,414,243236,786
"G340","1820","New Jersey","340",,"New Jersey",129619,127790,3988,3569,6416,6044,257409,20017
"G360","1820","New York","360",,"New York",679531,653193,5088,5000,13458,15821,1332724,39367
"G370","1820","North Carolina","370",,"North Carolina",209644,209556,106551,98466,7395,7217,419200,219629
"G390","1820","Ohio","390",,"Ohio",300607,275965,0,0,2454,2269,576572,4723
"G420","1820","Pennsylvania","420",,"Pennsylvania",516618,500476,85,126,14804,15398,1017094,30413
"G440","1820","Rhode Island","440",,"Rhode Island",38492,40921,18,30,1587,1967,79413,3602
"G450","1820","South Carolina","450",,"South Carolina",120934,116506,130472,128003,3296,3530,237440,265301
"G470","1820","Tennessee","470",,"Tennessee",173600,166327,39747,40360,1501,1226,339927,82834
"G500","1820","Vermont","500",,"Vermont",117310,117536,0,0,438,465,234846,903
"G510","1820","Virginia","510",,"Virginia",304731,298343,218274,206879,17849,19040,603074,462042
