GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ACD001,ACY001,ACY002,ACY003,ACY004,ACY005,ACY006,ACY007,ACY008,ACY009,ACY010,ACY011,ACY012,ACY013,ACY014,ACY015,ACY016,ACY017,ACY018,ACY019,ACY020,ACY021,ACY022,ACY023,ACY024,ACY025,ACY026,ACZ001,ACZ002,ACZ003,ACZ004,ACZ005,ACZ006,ACZ007,ACZ008,ACZ009,ACZ010,ACZ011,ACZ012,ACZ013,ACZ014,ACZ015,ACZ016,ACZ017,ACZ018,ACZ019,ACZ020,ACZ021,ACZ022,ACZ023,ACZ024,AC1001,AC1002,AC1003,AC1004,AC1005,AC1006,AC1007,ACR001,ACR002,ACS001,ACS002,ACS003,ACU001,ACU002,ACU003,ACU004
"G250","1840","Massachusetts","250",,"Massachusetts",737699,47313,40296,37971,37069,76285,52283,30161,19270,11432,6473,1914,195,17,45313,40115,36832,40360,74250,49324,33109,22684,14645,8387,2955,375,2,908,1119,1444,871,306,6,899,1058,868,771,417,2,0,0,0,0,0,0,0,0,0,0,0,0,499,87837,8063,85176,27153,372,3804,360679,368351,729030,8669,0,4654,4015,0,0
"G260","1840","Michigan","260",,"Michigan",212267,19484,16054,12839,10887,22759,16025,8276,4442,1903,623,88,12,3,18401,15089,11798,10819,18706,11864,6109,3394,1441,451,80,11,2,93,103,119,62,16,0,80,98,76,46,13,1,0,0,0,0,0,0,0,0,0,0,0,0,40,56521,728,6890,24,166,904,113395,98165,211560,707,0,393,314,0,0
"G280","1840","Mississippi","280",,"Mississippi",375651,19542,14164,11475,8662,20084,11995,6001,3289,1430,466,130,14,4,18235,13328,10919,8911,14464,7847,4284,2250,1075,381,96,22,6,228,168,125,114,76,4,181,151,133,122,59,5,31736,31564,22008,10120,2537,38,31972,32358,21670,9019,2162,27,14,139724,1303,4151,33,100,1506,97256,81818,179074,1366,195211,715,651,98003,97208
"G290","1840","Missouri","290",,"Missouri",383702,34597,26054,21222,16784,33772,20568,11384,5620,2439,814,183,28,5,32600,24321,19679,16952,26330,14889,8580,4259,2019,634,131,21,3,193,195,266,154,74,1,152,159,152,133,89,6,10873,10718,4269,2329,536,17,10479,10926,4887,2558,644,4,742,92408,2522,11100,39,1885,1469,173470,150418,323888,1574,58240,883,691,28742,29498
"G330","1840","New Hampshire","330",,"New Hampshire",284574,18435,17300,16929,15663,22170,16781,12915,8690,5485,3447,1084,103,2,17959,16693,15689,15457,24679,18269,14183,9824,6702,4000,1388,181,8,57,68,42,48,33,0,50,66,54,61,56,2,0,0,0,0,0,0,0,1,0,0,0,0,13,77949,1379,17826,452,198,1640,139004,145032,284036,537,1,248,289,0,1
"G340","1840","New Jersey","340",,"New Jersey",373306,28827,23809,21951,19308,31052,21553,13949,8526,4887,2459,660,67,7,27505,23161,20362,19701,31514,20530,14009,8841,5253,2769,803,82,3,3019,3429,1978,1639,711,4,2834,3106,2079,1485,748,12,1,1,7,137,157,0,0,4,7,168,190,2,266,56701,2283,27004,1143,1625,1627,177055,174533,351588,21044,674,10780,10264,303,371
"G360","1840","New York","360",,"New York",2428921,187730,158107,139752,130094,230981,158194,97542,54975,30869,14694,3984,379,56,180769,154525,134977,137414,227137,143882,90163,53496,30190,14281,4152,522,25,6008,6370,5711,4221,1476,23,6032,6951,6809,4454,1928,44,0,0,0,0,0,0,1,2,0,0,1,0,1898,455954,28468,173193,5511,10167,14111,1207357,1171533,2378890,50027,4,23809,26218,0,4
"G370","1840","North Carolina","370",,"North Carolina",753419,46413,37011,31473,24819,38756,24254,16799,10432,6365,2830,741,125,29,43637,35221,29646,26965,43132,25906,18114,11374,6754,2943,962,150,19,3962,3593,1665,1255,734,18,3704,3475,2043,1454,801,28,44854,38419,19636,14053,6512,72,44190,37910,20292,13374,6421,84,589,217095,1734,14322,327,379,1086,240047,244823,484870,22732,245817,11227,11505,123546,122271
"G390","1840","Ohio","390",,"Ohio",1519467,144582,115832,96697,81431,138755,85944,54992,30298,18182,6778,1617,200,52,137725,110949,91294,84872,127730,75799,48588,28037,14636,5592,1345,173,22,2560,2688,1719,1175,579,19,2630,2784,1640,1053,487,8,0,0,1,1,0,0,0,1,0,0,0,0,704,272579,9201,66265,212,3323,5663,775360,726762,1502122,17342,3,8740,8602,2,1
"G420","1840","Pennsylvania","420",,"Pennsylvania",1724033,149480,117351,101522,89825,152624,99421,64366,37933,20268,9224,2453,240,63,141786,115570,97972,96692,153803,92864,60838,37965,21007,9783,2725,316,24,6245,6192,5182,3697,1400,36,6264,7426,6071,3806,1505,30,12,20,0,0,3,0,8,8,0,1,11,1,4603,207533,15338,105883,1815,3951,6706,844770,831345,1676115,47854,64,22752,25102,35,29
"G440","1840","Rhode Island","440",,"Rhode Island",108830,7121,5947,5969,5659,9878,6798,4452,2799,1570,862,287,20,0,6504,5812,5710,6030,10833,7138,4891,3430,2176,1196,444,59,2,355,388,319,242,109,0,318,489,425,360,232,1,0,0,0,0,1,0,0,0,0,1,3,0,35,16617,1348,21271,1717,228,457,51362,54225,105587,3238,5,1413,1825,1,4
"G450","1840","South Carolina","450",,"South Carolina",594398,24828,19360,16621,13719,22489,13774,9132,5615,3059,1418,409,50,22,23639,18741,15822,14691,22392,13471,9145,5551,3168,1443,430,74,21,1403,1105,677,405,262,12,1392,1272,858,545,338,7,52642,46137,30373,20751,8650,125,54527,48251,34589,22403,8506,84,51,198363,1958,10325,381,348,1481,130496,128588,259084,8276,327038,3864,4412,158678,168360
"G470","1840","Tennessee","470",,"Tennessee",829210,67182,53821,44489,34218,51112,31323,19369,12755,7140,3039,855,109,22,62684,51013,42327,35965,51907,30597,19198,11535,6465,2617,732,126,27,973,772,372,379,294,6,881,742,445,367,285,8,34115,30883,15068,8665,2717,29,33705,30356,15635,9021,2832,33,103,227739,2217,17815,55,302,2042,325434,315193,640627,5524,183059,2796,2728,91477,91582
"G500","1840","Vermont","500",,"Vermont",291948,21786,19069,17551,16999,23006,17596,12817,7982,5454,3137,884,84,13,20379,18877,16677,15744,24225,18163,12807,8612,5423,2875,951,100,7,91,99,74,60,38,2,76,106,65,76,43,0,0,0,0,0,0,0,0,0,0,0,0,0,77,73150,1303,13174,41,146,1563,146378,144840,291218,730,0,364,366,0,0
"G510","1840","Virginia","510",,"Virginia",1239797,69308,53485,45822,38263,63465,41141,27465,16670,9673,4458,1241,196,26,65286,52264,43996,42475,65797,40082,26928,16865,9986,4468,1256,202,40,7958,7165,3898,3135,1652,20,7899,7616,4871,3556,2046,36,76847,68751,40194,30380,12398,91,75703,65814,38372,27781,12636,120,1995,318771,6361,54147,582,2952,3866,371213,369645,740858,49852,449087,23828,26024,228661,220426
"G555","1840","Wisconsin Territory","555",,"Wisconsin Territory",30945,2627,1793,1303,1344,6328,3348,1191,554,201,55,10,2,1,2528,1692,1289,1200,2713,1423,612,360,128,37,7,2,1,16,32,28,19,6,0,21,27,20,12,4,0,1,3,0,0,0,0,2,1,1,2,1,0,794,7047,479,1814,14,209,259,18757,11992,30749,185,11,101,84,4,7
