,Year,dem_congress,tax_cut,tax_increase,unified_congress,unified_government,pct_of_year_in_recession,recession_year,value_GGNLEND,last_value_GGNLEND,diff_value_GGNLEND,pct_change_GGNLEND,lag_pct_change_GGNLEND,lag_diff_value_GGNLEND,value_real_per_capita_gdp_growth,lag_value_real_per_capita_gdp_growth,value_NY.GDP.MKTP.KD.ZG,value_NY.GDP.PCAP.KD.ZG,last_value_NY.GDP.MKTP.KD.ZG,last_value_NY.GDP.PCAP.KD.ZG,diff_value_NY.GDP.MKTP.KD.ZG,diff_value_NY.GDP.PCAP.KD.ZG,pct_change_NY.GDP.MKTP.KD.ZG,pct_change_NY.GDP.PCAP.KD.ZG,lag_pct_change_NY.GDP.MKTP.KD.ZG,lag_pct_change_NY.GDP.PCAP.KD.ZG,lag_diff_value_NY.GDP.MKTP.KD.ZG,lag_diff_value_NY.GDP.PCAP.KD.ZG,z_value_NY.GDP.PCAP.KD.ZG,lag_z_value_NY.GDP.PCAP.KD.ZG,real_gdp_per_capita_z,lag_real_gdp_per_capita_z,value_top_tax_rate,last_value_top_tax_rate,diff_value_top_tax_rate,pct_change_top_tax_rate,lag_pct_change_top_tax_rate,lag_diff_value_top_tax_rate,value_GGEXP,last_value_GGEXP,diff_value_GGEXP,pct_change_GGEXP,lag_pct_change_GGEXP,lag_diff_value_GGEXP,value_GGREV,last_value_GGREV,diff_value_GGREV,pct_change_GGREV,lag_pct_change_GGREV,lag_diff_value_GGREV,president_dem
diff_value_GGNLEND,-0.034811185,-0.067118244,-0.177880611,0.034662716,0.124669727,-0.014946161,-0.49854083,-0.528840553,0.314856735,-0.305737811,1,-0.156314334,0.20696923,0.397486671,0.496496846,0.48948769,0.633234137,0.638503347,0.286923532,0.292101667,0.297447192,0.29399388,-0.142125832,-0.313041357,-0.034752272,-0.092558089,0.316467533,0.316745342,0.638503347,0.292101667,0.496496846,0.48948769,0.044855268,-0.040929381,0.223680556,0.185885872,0.014011234,0.014752511,-0.238239382,0.207169906,-0.893608567,-0.88749141,-0.470841368,-0.472124438,0.292537206,-0.314506069,0.832608285,0.831878424,0.186515548,0.18948972,0.322349987
pct_change_GGNLEND,-0.021732174,0.124901352,-0.113211534,-0.024992021,0.069072112,0.113644318,-0.138149213,-0.078924012,-0.380503759,-0.284534864,-0.156314334,1,0.007076744,-0.215848581,-0.000346011,-0.223293923,-0.112209832,-0.103229661,-0.259871109,-0.244873228,0.134652781,0.127611538,0.023111819,0.284458684,-0.029185797,0.046901182,-0.072838647,-0.073460234,-0.103229661,-0.244873228,-0.000346011,-0.223293923,-0.017325066,0.035707213,-0.139863655,-0.120411987,-0.305421738,-0.269728177,0.268084916,0.20459558,0.1229496,0.113425113,0.239261612,0.227614922,-0.3896161,-0.271550836,-0.150795543,-0.152382641,-0.133161715,-0.143306793,-0.029042508
lag_pct_change_GGNLEND,-0.04441559,0.152908269,-0.210635017,0.052103745,0.244216044,0.227197686,0.038505091,0.056385962,-0.246185332,-0.375605715,0.20696923,0.007076744,1,-0.139119866,0.099458527,-0.003711231,0.031486261,0.034508411,-0.114558229,-0.108803504,0.13026129,0.126293102,-0.033504738,-0.893613275,0.024688187,0.288302716,0.114555262,0.107824242,0.034508411,-0.108803504,0.099458527,-0.003711231,-0.030001657,-0.019418973,-0.023869431,-0.011665727,-0.113034055,-0.13397048,0.241496429,0.266285846,-0.054550936,-0.067563998,0.117771771,0.126992666,-0.12823244,-0.365267308,0.333230493,0.318958966,-0.122386678,-0.12004964,0.062138979
lag_diff_value_GGNLEND,-0.026092747,-0.177729251,-0.120620196,-0.031416537,-0.061915552,-0.241690724,-0.085024907,-0.084929197,0.545664578,0.300305263,0.397486671,-0.215848581,-0.139119866,1,0.02735179,0.521703689,0.201410263,0.202558243,0.664814448,0.677283763,-0.419493267,-0.424784257,0.010362304,-0.20734985,-0.214744112,-0.327442824,0.358526568,0.355621636,0.202558243,0.677283763,0.02735179,0.521703689,0.101381238,0.099586388,-0.010609446,-0.029270007,0.170987959,0.213856319,-0.455749644,-0.257464287,-0.391200919,-0.379924246,-0.919529278,-0.925057506,0.428961656,0.212140598,0.286523072,0.28730408,0.842921752,0.845766524,0.236050334
value_real_per_capita_gdp_growth,-0.199091561,-0.024735789,-0.118878386,-0.165254279,0.175438725,0.061355852,-0.723609798,-0.710645703,0.20590491,-0.102062842,0.496496846,-0.000346011,0.099458527,0.02735179,1,0.293140633,0.836039631,0.840794053,0.089672742,0.087281851,0.651882344,0.650641477,-0.117762948,-0.039874448,-0.009038189,0.122393581,0.095307436,0.097207459,0.840794053,0.087281851,1,0.293140633,0.04563519,-0.002448499,0.122257114,0.046352411,-0.250041535,-0.338035513,-0.282445573,0.030749576,-0.626179163,-0.649943749,-0.110057693,-0.109148796,-0.039198081,-0.173855884,0.188179155,0.182379808,-0.094063,-0.094648022,0.068665875
lag_value_real_per_capita_gdp_growth,-0.233429085,-0.08209016,-0.116832591,-0.033129201,0.12160365,6.94E-06,-0.204105278,-0.281591369,0.508814214,0.206153162,0.48948769,-0.223293923,-0.003711231,0.521703689,0.293140633,1,0.654989403,0.652455742,0.836293081,0.840851998,-0.175921781,-0.180192985,0.05566703,-0.197224935,-0.16331727,-0.044446461,0.643672755,0.642360071,0.652455742,0.840851998,0.293140633,1,0.116128379,0.082372517,0.073026875,0.042764151,0.048754699,0.125372315,-0.556418245,-0.29475485,-0.517091543,-0.522418424,-0.655804614,-0.632757217,0.160749489,-0.06596282,0.309229802,0.306359953,0.223028914,0.23031475,0.067370475
value_NY.GDP.MKTP.KD.ZG,-0.279426047,-0.061147863,-0.116535938,-0.068706627,0.163529411,-0.018185705,-0.53560621,-0.622364783,0.426164479,0.033894038,0.633234137,-0.112209832,0.031486261,0.201410263,0.836039631,0.654989403,1,0.994593471,0.363387546,0.35635557,0.550147469,0.545369852,-0.211555222,-0.077172885,-0.01559219,0.010887139,0.264309422,0.267708388,0.994593471,0.35635557,0.836039631,0.654989403,0.067751411,-0.017303251,0.218233772,0.133210274,-0.165090398,-0.198548674,-0.489320437,-0.115464204,-0.744583277,-0.762776804,-0.303738604,-0.295901194,0.092257049,-0.130980433,0.306701049,0.302097877,0.010701596,0.016407368,0.035891358
value_NY.GDP.PCAP.KD.ZG,-0.227455157,-0.103036993,-0.089591137,-0.095621809,0.127998352,-0.012335496,-0.554957795,-0.645142921,0.392842111,-0.002808076,0.638503347,-0.103229661,0.034508411,0.202558243,0.840794053,0.652455742,0.994593471,1,0.346295723,0.348584883,0.560732207,0.556936873,-0.1780834,-0.073577625,0.011685619,0.021247805,0.272760975,0.277566169,1,0.348584883,0.840794053,0.652455742,0.086142398,0.00758158,0.19798494,0.104043345,-0.186121748,-0.215186383,-0.461913379,-0.081267237,-0.758792496,-0.775636968,-0.307344015,-0.300960058,0.065288871,-0.152011337,0.299364771,0.29594977,0.006960067,0.01176367,0.025141072
last_value_NY.GDP.MKTP.KD.ZG,-0.332847505,-0.01790769,-0.131366829,-0.071362598,0.134295502,-0.040745478,-0.031815998,-0.046670314,0.594727091,0.418245689,0.286923532,-0.259871109,-0.114558229,0.664814448,0.089672742,0.836293081,0.363387546,0.346295723,1,0.995283694,-0.578063952,-0.582123078,0.210814947,-0.143065919,-0.290323269,-0.084472476,0.578264105,0.573949921,0.346295723,0.995283694,0.089672742,0.836293081,0.150946927,0.133441818,0.024060035,0.011748162,0.133795678,0.219140926,-0.626279511,-0.503606238,-0.235514129,-0.238031387,-0.773205726,-0.755387414,0.2317367,0.035425305,0.264665138,0.262591237,0.35909254,0.365060023,0.089931561
last_value_NY.GDP.PCAP.KD.ZG,-0.291158329,-0.049790344,-0.109589288,-0.099679757,0.105565215,-0.041623712,-0.040187207,-0.057445041,0.567720222,0.38793549,0.292101667,-0.244873228,-0.108803504,0.677283763,0.087281851,0.840851998,0.35635557,0.348584883,0.995283694,1,-0.579995603,-0.584320341,0.239880963,-0.145126413,-0.266179203,-0.080527464,0.58785538,0.584400027,0.348584883,1,0.087281851,0.840851998,0.162511738,0.152352456,0.002560958,-0.018832049,0.107806888,0.201561952,-0.606279168,-0.478418856,-0.246351315,-0.248166718,-0.78536592,-0.76889354,0.205853092,0.012581391,0.261313565,0.260236151,0.367704944,0.372837025,0.071382095
