"COU","Country","TAX","Income Tax","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","PERS_ITAX","Personal income tax","2018","2018",,,"0","Units",,,20.1,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2000","2000",,,"0","Units",,,53.1,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2001","2001",,,"0","Units",,,53.69,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2002","2002",,,"0","Units",,,53.69,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2003","2003",,,"0","Units",,,53.69,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2004","2004",,,"0","Units",,,54.28,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2005","2005",,,"0","Units",,,54.28,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2006","2006",,,"0","Units",,,54.28,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2007","2007",,,"0","Units",,,54.28,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2008","2008",,,"0","Units",,,62.28,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2009","2009",,,"0","Units",,,62.14936,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2010","2010",,,"0","Units",,,55.38,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2011","2011",,,"0","Units",,,55.38,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2012","2012",,,"0","Units",,,55.38,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2013","2013",,,"0","Units",,,55.564,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2014","2014",,,"0","Units",,,55.564,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2015","2015",,,"0","Units",,,55.794,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2016","2016",,,"0","Units",,,55.794,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2017","2017",,,"0","Units",,,55.794,,
"DNK","Denmark","PERS_ITAX","Personal income tax","2018","2018",,,"0","Units",,,55.8584,,
"FIN","Finland","PERS_ITAX","Personal income tax","2000","2000",,,"0","Units",,,52.64376,,
"FIN","Finland","PERS_ITAX","Personal income tax","2001","2001",,,"0","Units",,,52.45544,,
"FIN","Finland","PERS_ITAX","Personal income tax","2002","2002",,,"0","Units",,,51.82086,,
"FIN","Finland","PERS_ITAX","Personal income tax","2003","2003",,,"0","Units",,,51.11561,,
"FIN","Finland","PERS_ITAX","Personal income tax","2004","2004",,,"0","Units",,,50.31698,,
"FIN","Finland","PERS_ITAX","Personal income tax","2005","2005",,,"0","Units",,,49.8902,,
"FIN","Finland","PERS_ITAX","Personal income tax","2006","2006",,,"0","Units",,,49.21015,,
"FIN","Finland","PERS_ITAX","Personal income tax","2007","2007",,,"0","Units",,,49.247665,,
"FIN","Finland","PERS_ITAX","Personal income tax","2008","2008",,,"0","Units",,,49.227195,,
