"weekly_correlation","solution_diff","solved_ifr","sir_total_deaths","sir_total_observed_deaths","sir_observed_to_date","actual_to_date","projected_to_date","it","initial_r0","incubation_period","distancing_effect","prop_susceptible","initial_shutdown","missing_death_rate"
0.856333001017662,2438.66326931198,0.028752739412901,130866,85062.9,16298.75,17669,18294.6666666667,2134,2.75,7,0.6,0.6,2020-03-07,0.35
0.856995645083199,2439.87605257469,0.0016895763536077,43495,30446.5,21061.6,17669,18294.6666666667,993,2.5,5,0.4,0.7,2020-03-07,0.3
0.897164401198586,2472.00204512681,0.00595034587256659,42366,21183,14775,17669,18294.6666666667,5532,2.25,4,0.6,0.5,2020-03-07,0.5
0.920710658916472,2478.69465596932,0.00800952023632197,79259,47555.4,18568.2,17669,18294.6666666667,3262,2.25,4.5,0.5,0.6,2020-03-07,0.4
0.853537867742925,2495.60270600373,0.0284573527433328,129959,90971.3,20127.8,17669,18294.6666666667,327,2.25,5,0.5,0.4,2020-03-07,0.3
0.91732721313148,2504.787826681,0.00150739169508076,35219,24653.3,8838.2,17669,18294.6666666667,1069,2.75,5.5,0.5,0.7,2020-03-07,0.3
0.950180992996739,2514.49873223764,0.0367420449266886,80838,52544.7,18506.15,17669,18294.6666666667,2169,2.75,7,0.65,0.6,2020-03-07,0.35
0.762040665413875,2514.5268720025,0.0133018717012541,36796,25757.2,19694.5,17669,18294.6666666667,917,2.25,4.5,0.65,0.6,2020-03-07,0.3
0.82396041958806,2514.67217583673,0.0186147924179269,171173,119821.1,17172.4,17669,18294.6666666667,874,2.75,7,0.55,0.6,2020-03-07,0.3
0.942573451009956,2519.90471601165,0.00536512125155661,51402,25701,16164.5,17669,18294.6666666667,4902,2.25,4,0.4,0.3,2020-03-07,0.5
0.846451925361679,2539.80215278841,0.0122226263159926,104413,62647.8,17496.6,17669,18294.6666666667,2590,3,7,0.55,0.3,2020-03-07,0.4
0.880089174220426,2550.21719140861,0.00167026763171847,37176,26023.2,18855.2,17669,18294.6666666667,982,2.25,4,0.4,0.7,2020-03-07,0.3
0.871798389549007,2558.65502380923,0.00342716774513759,70231,42138.6,18588.6,17669,18294.6666666667,2964,2.75,6,0.4,0.5,2020-03-07,0.4
0.980886274710333,2559.67910315163,0.00440588086789871,52121,26060.5,18267,17669,18294.6666666667,4995,3,6,0.5,0.3,2020-03-07,0.5
0.836162710196883,2565.91470989176,0.0270669822606555,143101,78705.55,17099.5,17669,18294.6666666667,4829,2.75,7,0.6,0.7,2020-03-07,0.45
0.8665391581724,2570.73091638243,0.00420993176133513,62047,31023.5,10056,17669,18294.6666666667,5245,3,6.5,0.5,0.4,2020-03-07,0.5
0.761987158090813,2577.68063274806,0.0023421046810289,50126,25063,19570.5,17669,18294.6666666667,6045,3,6,0.6,0.7,2020-03-07,0.5
0.97205450373424,2589.36668194956,0.00753956638413463,51955,28575.25,17623.65,17669,18294.6666666667,3834,2.75,5.5,0.6,0.3,2020-03-07,0.45
0.939534904066966,2601.27365764837,0.0139767535331686,72635,43581,16203.6,17669,18294.6666666667,3343,2.5,5.5,0.6,0.6,2020-03-07,0.4
0.845314079982964,2621.22104710339,0.0134520833756674,77750,31100,14000.4,17669,18294.6666666667,7748,2.5,5,0.6,0.4,2020-03-07,0.6
0.984897171662034,2627.08135849812,0.010881651407307,89772,58351.8,18304.65,17669,18294.6666666667,2374,2.75,6.5,0.6,0.7,2020-03-07,0.35
0.899792847630163,2640.46852438556,0.00476694062446045,60229,39148.85,14714.05,17669,18294.6666666667,1605,3,6.5,0.55,0.4,2020-03-07,0.35
0.944802435187085,2660.25649667808,0.038221083427746,50159,35111.3,15731.1,17669,18294.6666666667,688,2.5,6,0.65,0.5,2020-03-07,0.3
0.877607311437319,2666.79096606565,0.038245629141197,128205,89743.5,20461.7,17669,18294.6666666667,36,2,4,0.45,0.3,2020-03-07,0.3
0.972224454048292,2681.97378093154,0.00186187118629891,35482,23063.3,15557.1,17669,18294.6666666667,2242,2.25,4,0.45,0.7,2020-03-07,0.35
0.902366223183527,2688.87753334882,0.0121871862356961,122991,67645.05,18743.45,17669,18294.6666666667,4340,3,7,0.6,0.5,2020-03-07,0.45
0.770453118206274,2697.067615519,0.00541329468833258,40902,22496.1,18234.15,17669,18294.6666666667,3875,3,6,0.65,0.3,2020-03-07,0.45
0.954239640104832,2717.8497991729,0.00795224569930743,62645,37587,20356.8,17669,18294.6666666667,2533,2.5,5,0.5,0.3,2020-03-07,0.4
0.830822195780112,2722.17024056066,0.0109657352895044,156959,109871.3,15481.2,17669,18294.6666666667,589,2.75,6.5,0.5,0.5,2020-03-07,0.3
0.912318789478354,2775.91982954583,0.0043667350852672,39554,25710.1,20244.9,17669,18294.6666666667,1822,2.25,4,0.55,0.5,2020-03-07,0.35
0.915484471693544,2803.55787844264,0.0295961199631998,131921,65960.5,13480,17669,18294.6666666667,5181,2,4,0.45,0.4,2020-03-07,0.5
0.795024724001337,2817.26916194818,0.0194886891291661,78693,47215.8,15040.8,17669,18294.6666666667,3501,2,4,0.5,0.7,2020-03-07,0.4
0.864912784572136,2827.07978069593,0.00380852186297058,59812,35887.2,14165.4,17669,18294.6666666667,3075,3,6.5,0.55,0.5,2020-03-07,0.4
0.870902758548083,2843.24906895894,0.0124868096066106,58820,32351,21055.65,17669,18294.6666666667,4802,2.25,4.5,0.6,0.7,2020-03-07,0.45
0.916011366810802,2853.32646464301,0.00201938590992421,32349,22644.3,14161,17669,18294.6666666667,492,2.25,4,0.4,0.5,2020-03-07,0.3
0.918126249008422,2857.58185476625,0.0168467863968413,134805,94363.5,21683.2,17669,18294.6666666667,379,2.75,6.5,0.55,0.4,2020-03-07,0.3
0.924164206306947,2867.00740223049,0.0149216720912997,78267,39133.5,15638.5,17669,18294.6666666667,5502,2.25,4.5,0.55,0.5,2020-03-07,0.5
