Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Mexico,--,0.5,--,--,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.5,0.4,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.4,0.4,0.4,0.35,0.34,0.33,0.3,0.29,0.28,0.28,0.3,0.3,0.3,0.3,0.3
Netherlands,0.71,--,--,--,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
New Zealand,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.66,0.66,0.57,0.48,0.405,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.355,0.355,0.33,0.33,0.33
Norway,0.73,0.71,--,--,0.754,--,0.654,0.704,--,0.405,0.4,0.4,0.34,0.23,0.19,0.17,0.14,0.13,0.137,0.137,0.137,0.137,--,0.28,0.28,0.475,0.475,0.475,0.475,0.475,0.435,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Poland,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.4,0.4,0.45,0.45,0.45,0.44,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.32,0.32,0.32,0.32,0.32
Portugal,--,0.91,--,--,0.8,--,0.775,0.775,--,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.42,0.42,0.42,0.459,0.459,0.5,0.49,0.565
Slovak Republic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.42,0.42,0.42,0.42,0.42,0.35,0.35,0.38,0.38,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.25
Slovenia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.41,0.41,0.41,0.41,0.41,0.41,0.5
Spain,0.62,--,--,--,0.655,0.655,0.656,0.6847,--,0.66,0.66,0.66,0.66,0.56,0.56,0.56,0.56,0.53,0.56,0.56,0.56,0.56,0.56,0.48,0.4,0.48,0.48,0.49,0.45,0.45,0.45,0.45,0.43,0.43,0.43,0.43,0.45,0.52,0.52
Sweden,0.87,0.83,--,--,0.865,--,0.85,0.85,--,0.82,0.8,0.8,0.77,0.75,0.72,0.65,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.31,0.31,0.5538,0.5553,0.5552,0.5617,0.5651,0.566,0.566,0.5655,0.5644,0.566,0.566,0.566,0.566,0.567
Switzerland,0.44,--,--,--,0.41,--,0.42,0.4,--,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.13,0.13,--,0.4323,0.4323,0.3842,0.4206,0.4206,0.4206,0.4206,0.4206,0.4167,0.417,0.417,0.417,0.417,0.417
Turkey,0.68,--,--,--,--,--,--,0.65,--,0.6,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.55,0.55,0.55,0.55,0.45,0.4,0.356004715,0.4061,0.406,0.406,0.406,0.356,0.356,0.356,0.356,0.357,0.357,0.357,0.357,0.358
United Kingdom,0.83,0.83,0.83,0.83,0.83,--,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.45
United States,0.7,0.7,0.7,0.7,0.7,0.7,0.6913,0.5,0.5,0.5,0.5,0.5,0.385,0.28,0.28,0.28,0.28,0.31,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.4665,0.4605,0.4522,0.4155,0.415,0.414,0.414,0.414,0.4185,0.419,0.419,0.419,0.418,0.463
